	frac_text	positives	precision	prob	recall	total
0	0/3	0	0.0	0.9	0.0	3
1	1/4	1	0.25	0.8	0.0025188916876574307	4
2	2/7	2	0.2857142857142857	0.7	0.005037783375314861	7
3	5/11	5	0.45454545454545453	0.6	0.012594458438287154	11
4	11/17	11	0.6470588235294118	0.5	0.027707808564231738	17
5	22/35	22	0.6285714285714286	0.4	0.055415617128463476	35
6	37/58	37	0.6379310344827587	0.3	0.09319899244332494	58
7	87/148	87	0.5878378378378378	0.2	0.21914357682619648	148
8	205/1248	205	0.1642628205128205	0.1	0.5163727959697733	1248
9	288/11951	288	0.024098401807380137	0.05	0.72544080604534	11951
10	353/35305	353	0.009998583770004248	0.01	0.889168765743073	35305
11	369/35916	369	0.010273972602739725	0.005	0.929471032745592	35916
12	390/40413	390	0.009650360032662756	0.001	0.982367758186398	40413
13	397/44281	397	0.008965470517829317	0.0	1.0	44281
