	frac_text	positives	precision	prob	recall	total
0	38/46	38	0.8260869565217391	0.9	0.09571788413098237	46
1	51/68	51	0.75	0.8	0.12846347607052896	68
2	61/88	61	0.6931818181818182	0.7	0.15365239294710328	88
3	71/111	71	0.6396396396396397	0.6	0.17884130982367757	111
4	85/140	85	0.6071428571428571	0.5	0.2141057934508816	140
5	94/179	94	0.5251396648044693	0.4	0.2367758186397985	179
6	110/242	110	0.45454545454545453	0.3	0.2770780856423174	242
7	157/514	157	0.30544747081712065	0.2	0.3954659949622166	514
8	241/10058	241	0.023961026048916284	0.1	0.6070528967254408	10058
9	337/35327	337	0.009539445749709854	0.05	0.8488664987405542	35327
10	397/44222	397	0.008977432047397224	0.01	1.0	44222
11	397/44281	397	0.008965470517829317	0.005	1.0	44281
12	397/44281	397	0.008965470517829317	0.001	1.0	44281
13	397/44281	397	0.008965470517829317	0.0	1.0	44281
