	frac_text	positives	precision	prob	recall	total
0	15/31	15	0.4838709677419355	0.99	0.037783375314861464	31
1	48/83	48	0.5783132530120482	0.9	0.12090680100755667	83
2	61/107	61	0.5700934579439252	0.8	0.15365239294710328	107
3	76/141	76	0.5390070921985816	0.7	0.19143576826196473	141
4	82/159	82	0.5157232704402516	0.6	0.20654911838790932	159
5	93/187	93	0.49732620320855614	0.5	0.23425692695214106	187
6	100/209	100	0.4784688995215311	0.4	0.2518891687657431	209
7	110/242	110	0.45454545454545453	0.3	0.2770780856423174	242
8	124/308	124	0.4025974025974026	0.2	0.3123425692695214	308
9	138/411	138	0.3357664233576642	0.1	0.34760705289672544	411
10	148/536	148	0.27611940298507465	0.05	0.37279596977329976	536
11	190/1087	190	0.17479300827966882	0.01	0.47858942065491183	1087
12	203/1461	203	0.13894592744695414	0.005	0.5113350125944585	1461
13	244/3329	244	0.07329528386902974	0.001	0.6146095717884131	3329
14	397/44281	397	0.008965470517829317	0.0	1.0	44281
