	frac_text	positives	precision	prob	recall	total
0	2/2	2	1.0	0.9	0.005037783375314861	2
1	34/43	34	0.7906976744186046	0.8	0.08564231738035265	43
2	62/120	62	0.5166666666666667	0.7	0.1561712846347607	120
3	82/183	82	0.44808743169398907	0.6	0.20654911838790932	183
4	101/272	101	0.3713235294117647	0.5	0.25440806045340053	272
5	127/431	127	0.29466357308584684	0.4	0.3198992443324937	431
6	150/982	150	0.15274949083503056	0.3	0.3778337531486146	982
7	178/2414	178	0.07373653686826843	0.2	0.44836272040302266	2414
8	235/7490	235	0.03137516688918558	0.1	0.5919395465994962	7490
9	321/14289	321	0.02246483308838967	0.05	0.8085642317380353	14289
10	374/28331	374	0.013201087148353394	0.01	0.9420654911838791	28331
11	389/35211	389	0.011047683962398113	0.005	0.9798488664987406	35211
12	396/42496	396	0.009318524096385542	0.001	0.9974811083123426	42496
13	397/44281	397	0.008965470517829317	0.0	1.0	44281
