	frac_text	positives	precision	prob	recall	total
0	30/43	30	0.6976744186046512	0.99	0.07556675062972293	43
1	50/77	50	0.6493506493506493	0.9	0.12594458438287154	77
2	58/100	58	0.58	0.8	0.14609571788413098	100
3	65/120	65	0.5416666666666666	0.7	0.163727959697733	120
4	74/140	74	0.5285714285714286	0.6	0.18639798488664988	140
5	82/161	82	0.5093167701863354	0.5	0.20654911838790932	161
6	88/187	88	0.47058823529411764	0.4	0.2216624685138539	187
7	98/230	98	0.4260869565217391	0.3	0.24685138539042822	230
8	115/313	115	0.36741214057507987	0.2	0.28967254408060455	313
9	152/535	152	0.2841121495327103	0.1	0.38287153652392947	535
10	197/974	197	0.20225872689938398	0.05	0.49622166246851385	974
11	311/6136	311	0.050684485006518905	0.01	0.783375314861461	6136
12	337/9893	337	0.034064490043465075	0.005	0.8488664987405542	9893
13	375/24234	375	0.01547412725922258	0.001	0.9445843828715366	24234
14	397/44281	397	0.008965470517829317	0.0	1.0	44281
