	frac_text	positives	precision	prob	recall	total
0	33/37	33	0.8918918918918919	0.99	0.08312342569269521	37
1	55/72	55	0.7638888888888888	0.9	0.1385390428211587	72
2	65/89	65	0.7303370786516854	0.8	0.163727959697733	89
3	73/101	73	0.7227722772277227	0.7	0.18387909319899245	101
4	78/115	78	0.6782608695652174	0.6	0.1964735516372796	115
5	83/135	83	0.6148148148148148	0.5	0.20906801007556675	135
6	89/159	89	0.559748427672956	0.4	0.22418136020151133	159
7	95/175	95	0.5428571428571428	0.3	0.23929471032745592	175
8	104/205	104	0.5073170731707317	0.2	0.2619647355163728	205
9	116/266	116	0.43609022556390975	0.1	0.29219143576826195	266
10	128/335	128	0.382089552238806	0.05	0.3224181360201511	335
11	173/699	173	0.2474964234620887	0.01	0.4357682619647355	699
12	199/1057	199	0.18826868495742669	0.005	0.5012594458438288	1057
13	247/3262	247	0.07572041692213366	0.001	0.6221662468513854	3262
14	397/44281	397	0.008965470517829317	0.0	1.0	44281
