	frac_text	positives	precision	prob	recall	total
0	4/5	4	0.8	0.9	0.010075566750629723	5
1	8/10	8	0.8	0.8	0.020151133501259445	10
2	15/18	15	0.8333333333333334	0.7	0.037783375314861464	18
3	25/31	25	0.8064516129032258	0.6	0.06297229219143577	31
4	37/46	37	0.8043478260869565	0.5	0.09319899244332494	46
5	128/9179	128	0.013944874169299489	0.4	0.3224181360201511	9179
6	131/9193	131	0.01424997280539541	0.3	0.32997481108312343	9193
7	134/9218	134	0.014536775873291387	0.2	0.33753148614609574	9218
8	150/9271	150	0.016179484413763347	0.1	0.3778337531486146	9271
9	164/9355	164	0.017530732228754675	0.05	0.41309823677581864	9355
10	230/9936	230	0.023148148148148147	0.01	0.5793450881612091	9936
11	267/12714	267	0.021000471920717318	0.005	0.672544080604534	12714
12	318/20889	318	0.015223323280195319	0.001	0.801007556675063	20889
13	397/44281	397	0.008965470517829317	0.0	1.0	44281
