	domain	domain_len	domain_precison	fold_imp	pos_frac	pos_num	prob
0	GATA	33	1.0	1.0625	0.48484848484848486	1	0.9
1	Ets	81	0.8421052631578947	1.886315789473684	0.30864197530864196	19	0.9
2	zf-C4	56	1.0	1.9473684210526316	0.3392857142857143	7	0.9
3	bZIP_1	63	0.8461538461538461	2.9615384615384617	0.2222222222222222	13	0.9
4	Homeobox	9	1.0	0.125	0.8888888888888888	3	0.9
5	HMG_box	51	0.75	0.78	0.49019607843137253	4	0.8
6	GATA	33	1.0	1.0625	0.48484848484848486	2	0.8
7	Ets	81	0.7916666666666666	1.7733333333333332	0.30864197530864196	24	0.8
8	Pou	69	1.0	2.833333333333333	0.2608695652173913	1	0.8
9	zf-C4	56	1.0	1.9473684210526316	0.3392857142857143	8	0.8
10	bZIP_1	63	0.6842105263157895	2.3947368421052633	0.2222222222222222	19	0.8
11	Homeobox	9	1.0	0.125	0.8888888888888888	5	0.8
12	HMG_box	51	0.8	0.8320000000000001	0.49019607843137253	5	0.7
13	GATA	33	1.0	1.0625	0.48484848484848486	2	0.7
14	Ets	81	0.75	1.68	0.30864197530864196	28	0.7
15	Pou	69	0.6666666666666666	1.8888888888888886	0.2608695652173913	6	0.7
16	zf-C4	56	0.8888888888888888	1.7309941520467835	0.3392857142857143	9	0.7
17	bZIP_1	63	0.5909090909090909	2.0681818181818183	0.2222222222222222	22	0.7
18	Homeobox	9	1.0	0.125	0.8888888888888888	7	0.7
19	Forkhead	72	1.0	3.5	0.2222222222222222	2	0.7
20	HMG_box	51	0.8571428571428571	0.8914285714285713	0.49019607843137253	7	0.6
21	GATA	33	0.8	0.8500000000000001	0.48484848484848486	5	0.6
22	Ets	81	0.65625	1.47	0.30864197530864196	32	0.6
23	Helicase_C	55	0.0	0.0	0.21818181818181817	1	0.6
24	Pou	69	0.625	1.7708333333333333	0.2608695652173913	8	0.6
25	zf-C4	56	0.9	1.7526315789473685	0.3392857142857143	10	0.6
26	bZIP_1	63	0.5909090909090909	2.0681818181818183	0.2222222222222222	22	0.6
27	Homeobox	9	1.0	0.125	0.8888888888888888	8	0.6
28	Forkhead	72	1.0	3.5	0.2222222222222222	5	0.6
29	zf-CCHC	17	0.5	0.7142857142857143	0.4117647058823529	2	0.5
30	HMG_box	51	0.8333333333333334	0.8666666666666667	0.49019607843137253	12	0.5
31	HLH	49	1.0	1.5789473684210527	0.3877551020408163	2	0.5
32	GATA	33	0.75	0.796875	0.48484848484848486	8	0.5
33	Ets	81	0.6176470588235294	1.383529411764706	0.30864197530864196	34	0.5
34	Helicase_C	55	0.0	0.0	0.21818181818181817	1	0.5
35	Pou	69	0.6	1.6999999999999997	0.2608695652173913	10	0.5
36	zf-C4	56	0.8	1.5578947368421054	0.3392857142857143	15	0.5
37	bZIP_1	63	0.5652173913043478	1.9782608695652173	0.2222222222222222	23	0.5
38	Homeobox	9	1.0	0.125	0.8888888888888888	8	0.5
39	Forkhead	72	1.0	3.5	0.2222222222222222	6	0.5
40	zf-CCHC	17	0.5	0.7142857142857143	0.4117647058823529	2	0.4
41	HMG_box	51	0.8125	0.845	0.49019607843137253	16	0.4
42	HLH	49	1.0	1.5789473684210527	0.3877551020408163	2	0.4
43	GATA	33	0.6363636363636364	0.6761363636363636	0.48484848484848486	11	0.4
44	Ets	81	0.5789473684210527	1.2968421052631578	0.30864197530864196	38	0.4
45	Helicase_C	55	0.0	0.0	0.21818181818181817	1	0.4
46	Pou	69	0.5	1.4166666666666665	0.2608695652173913	16	0.4
47	zf-C4	56	0.8125	1.5822368421052633	0.3392857142857143	16	0.4
48	bZIP_1	63	0.52	1.82	0.2222222222222222	25	0.4
49	Homeobox	9	1.0	0.125	0.8888888888888888	8	0.4
50	Forkhead	72	1.0	3.5	0.2222222222222222	7	0.4
51	zf-CCHC	17	0.5	0.7142857142857143	0.4117647058823529	2	0.3
52	HMG_box	51	0.7142857142857143	0.7428571428571429	0.49019607843137253	21	0.3
53	HLH	49	1.0	1.5789473684210527	0.3877551020408163	8	0.3
54	Histone	93	1.0	5.199999999999999	0.16129032258064516	2	0.3
55	zf-H2C2_2	13	1.0	0.3	0.7692307692307693	1	0.3
56	GATA	33	0.625	0.6640625	0.48484848484848486	16	0.3
57	Ets	81	0.5365853658536586	1.201951219512195	0.30864197530864196	41	0.3
58	Helicase_C	55	0.0	0.0	0.21818181818181817	1	0.3
59	Pou	69	0.45454545454545453	1.2878787878787878	0.2608695652173913	22	0.3
60	zf-C4	56	0.7222222222222222	1.4064327485380117	0.3392857142857143	18	0.3
61	bZIP_1	63	0.5	1.75	0.2222222222222222	26	0.3
62	Homeobox	9	1.0	0.125	0.8888888888888888	8	0.3
63	Forkhead	72	1.0	3.5	0.2222222222222222	7	0.3
64	NTP_transf_2	81	1.0	26.0	0.037037037037037035	1	0.2
