	domain	domain_len	domain_precison	fold_imp	pos_frac	pos_num	prob
0	Histone	93	1.0	5.199999999999999	0.16129032258064516	1	0.99
1	zf-C4	56	1.0	1.9473684210526316	0.3392857142857143	1	0.99
2	bZIP_1	63	0.6470588235294118	2.2647058823529416	0.2222222222222222	17	0.99
3	Homeobox	9	1.0	0.125	0.8888888888888888	2	0.99
4	HMG_box	51	0.75	0.78	0.49019607843137253	4	0.9
5	HLH	49	1.0	1.5789473684210527	0.3877551020408163	10	0.9
6	Histone	93	1.0	5.199999999999999	0.16129032258064516	1	0.9
7	GATA	33	1.0	1.0625	0.48484848484848486	1	0.9
8	Ets	81	0.8181818181818182	1.8327272727272728	0.30864197530864196	11	0.9
9	Helicase_C	55	0.0	0.0	0.21818181818181817	1	0.9
10	Pou	69	1.0	2.833333333333333	0.2608695652173913	1	0.9
11	zf-C4	56	1.0	1.9473684210526316	0.3392857142857143	4	0.9
12	bZIP_1	63	0.5909090909090909	2.0681818181818183	0.2222222222222222	22	0.9
13	Homeobox	9	1.0	0.125	0.8888888888888888	5	0.9
14	Forkhead	72	1.0	3.5	0.2222222222222222	1	0.9
15	HMG_box	51	0.75	0.78	0.49019607843137253	4	0.8
16	HLH	49	0.9285714285714286	1.4661654135338347	0.3877551020408163	14	0.8
17	zf-CXXC	46	1.0	1.7058823529411766	0.3695652173913043	1	0.8
18	Histone	93	1.0	5.199999999999999	0.16129032258064516	2	0.8
19	GATA	33	1.0	1.0625	0.48484848484848486	1	0.8
20	Ets	81	0.7857142857142857	1.7599999999999998	0.30864197530864196	14	0.8
21	Helicase_C	55	0.0	0.0	0.21818181818181817	1	0.8
22	Pou	69	1.0	2.833333333333333	0.2608695652173913	1	0.8
23	zf-C4	56	1.0	1.9473684210526316	0.3392857142857143	6	0.8
24	bZIP_1	63	0.5652173913043478	1.9782608695652173	0.2222222222222222	23	0.8
25	Homeobox	9	1.0	0.125	0.8888888888888888	7	0.8
26	Forkhead	72	1.0	3.5	0.2222222222222222	3	0.8
27	zf-CCHC	17	1.0	1.4285714285714286	0.4117647058823529	1	0.7
28	HMG_box	51	0.8333333333333334	0.8666666666666667	0.49019607843137253	6	0.7
29	HLH	49	0.7647058823529411	1.2074303405572755	0.3877551020408163	17	0.7
30	zf-CXXC	46	1.0	1.7058823529411766	0.3695652173913043	3	0.7
31	Histone	93	1.0	5.199999999999999	0.16129032258064516	3	0.7
32	T-box	179	1.0	6.16	0.13966480446927373	1	0.7
33	zf-H2C2_2	13	1.0	0.3	0.7692307692307693	1	0.7
34	GATA	33	1.0	1.0625	0.48484848484848486	1	0.7
35	Ets	81	0.7894736842105263	1.768421052631579	0.30864197530864196	19	0.7
36	Helicase_C	55	0.0	0.0	0.21818181818181817	1	0.7
37	Pou	69	1.0	2.833333333333333	0.2608695652173913	1	0.7
38	zf-C4	56	1.0	1.9473684210526316	0.3392857142857143	6	0.7
39	bZIP_1	63	0.5416666666666666	1.8958333333333333	0.2222222222222222	24	0.7
40	Homeobox	9	1.0	0.125	0.8888888888888888	8	0.7
41	Forkhead	72	1.0	3.5	0.2222222222222222	5	0.7
42	zf-CCHC	17	1.0	1.4285714285714286	0.4117647058823529	1	0.6
43	HMG_box	51	0.8333333333333334	0.8666666666666667	0.49019607843137253	6	0.6
44	HLH	49	0.7222222222222222	1.1403508771929824	0.3877551020408163	18	0.6
45	zf-CXXC	46	1.0	1.7058823529411766	0.3695652173913043	6	0.6
46	Histone	93	1.0	5.199999999999999	0.16129032258064516	3	0.6
47	T-box	179	1.0	6.16	0.13966480446927373	1	0.6
48	zf-H2C2_2	13	1.0	0.3	0.7692307692307693	1	0.6
49	GATA	33	1.0	1.0625	0.48484848484848486	1	0.6
50	Ets	81	0.7619047619047619	1.7066666666666666	0.30864197530864196	21	0.6
51	Helicase_C	55	0.0	0.0	0.21818181818181817	1	0.6
52	Pou	69	0.6	1.6999999999999997	0.2608695652173913	5	0.6
53	zf-C4	56	1.0	1.9473684210526316	0.3392857142857143	6	0.6
54	bZIP_1	63	0.52	1.82	0.2222222222222222	25	0.6
55	Homeobox	9	1.0	0.125	0.8888888888888888	8	0.6
56	Forkhead	72	1.0	3.5	0.2222222222222222	5	0.6
57	zf-CCHC	17	0.5	0.7142857142857143	0.4117647058823529	2	0.5
58	HMG_box	51	0.8181818181818182	0.850909090909091	0.49019607843137253	11	0.5
59	MH1	91	0.0	0.0	0.14285714285714285	1	0.5
60	HLH	49	0.7222222222222222	1.1403508771929824	0.3877551020408163	18	0.5
61	zf-CXXC	46	0.875	1.4926470588235294	0.3695652173913043	8	0.5
62	Histone	93	1.0	5.199999999999999	0.16129032258064516	3	0.5
63	T-box	179	1.0	6.16	0.13966480446927373	1	0.5
64	zf-H2C2_2	13	1.0	0.3	0.7692307692307693	1	0.5
65	GATA	33	1.0	1.0625	0.48484848484848486	3	0.5
66	Ets	81	0.75	1.68	0.30864197530864196	24	0.5
67	Helicase_C	55	0.0	0.0	0.21818181818181817	1	0.5
68	Pou	69	0.6666666666666666	1.8888888888888886	0.2608695652173913	6	0.5
69	zf-C4	56	1.0	1.9473684210526316	0.3392857142857143	6	0.5
70	bZIP_1	63	0.52	1.82	0.2222222222222222	25	0.5
71	Homeobox	9	1.0	0.125	0.8888888888888888	8	0.5
72	Forkhead	72	1.0	3.5	0.2222222222222222	6	0.5
73	zf-CCHC	17	0.5	0.7142857142857143	0.4117647058823529	2	0.4
74	HMG_box	51	0.8571428571428571	0.8914285714285713	0.49019607843137253	14	0.4
75	MH1	91	0.0	0.0	0.14285714285714285	1	0.4
76	HLH	49	0.7222222222222222	1.1403508771929824	0.3877551020408163	18	0.4
