	frac_text	positives	precision	prob	recall	total
0	5/5	5	1.0	0.9	0.014245014245014245	5
1	11/11	11	1.0	0.8	0.03133903133903134	11
2	13/14	13	0.9285714285714286	0.7	0.037037037037037035	14
3	18/21	18	0.8571428571428571	0.6	0.05128205128205128	21
4	30/38	30	0.7894736842105263	0.5	0.08547008547008547	38
5	40/58	40	0.6896551724137931	0.4	0.11396011396011396	58
6	53/76	53	0.6973684210526315	0.3	0.150997150997151	76
7	77/124	77	0.6209677419354839	0.2	0.21937321937321938	124
8	121/246	121	0.491869918699187	0.1	0.34472934472934474	246
9	167/447	167	0.37360178970917224	0.05	0.4757834757834758	447
10	267/6374	267	0.04188892375274553	0.01	0.7606837606837606	6374
11	289/12157	289	0.023772312248087523	0.005	0.8233618233618234	12157
12	331/26288	331	0.012591296409007913	0.001	0.9430199430199431	26288
13	351/39981	351	0.008779170105800255	0.0	1.0	39981
