	frac_text	positives	precision	prob	recall	total
0	98/140	98	0.7	0.9	0.2792022792022792	140
1	110/159	110	0.6918238993710691	0.8	0.31339031339031337	159
2	115/171	115	0.672514619883041	0.7	0.32763532763532766	171
3	120/186	120	0.6451612903225806	0.6	0.3418803418803419	186
4	124/203	124	0.6108374384236454	0.5	0.35327635327635326	203
5	129/218	129	0.591743119266055	0.4	0.36752136752136755	218
6	130/224	130	0.5803571428571429	0.3	0.37037037037037035	224
7	135/246	135	0.5487804878048781	0.2	0.38461538461538464	246
8	143/273	143	0.5238095238095238	0.1	0.4074074074074074	273
9	149/292	149	0.5102739726027398	0.05	0.42450142450142453	292
10	163/380	163	0.42894736842105263	0.01	0.46438746438746437	380
11	167/433	167	0.3856812933025404	0.005	0.4757834757834758	433
12	173/607	173	0.28500823723228996	0.001	0.4928774928774929	607
13	351/39981	351	0.008779170105800255	0.0	1.0	39981
