	frac_text	positives	precision	prob	recall	total
0	13/13	13	1.0	0.9	0.037037037037037035	13
1	27/35	27	0.7714285714285715	0.8	0.07692307692307693	35
2	46/59	46	0.7796610169491526	0.7	0.13105413105413105	59
3	55/76	55	0.7236842105263158	0.6	0.15669515669515668	76
4	77/107	77	0.719626168224299	0.5	0.21937321937321938	107
5	109/166	109	0.6566265060240963	0.4	0.31054131054131057	166
6	144/254	144	0.5669291338582677	0.3	0.41025641025641024	254
7	182/392	182	0.4642857142857143	0.2	0.5185185185185185	392
8	224/762	224	0.29396325459317585	0.1	0.6381766381766382	762
9	254/1649	254	0.15403274711946635	0.05	0.7236467236467237	1649
10	306/12011	306	0.02547664640745983	0.01	0.8717948717948718	12011
11	320/18910	320	0.016922263352723427	0.005	0.9116809116809117	18910
12	339/30887	339	0.010975491307022371	0.001	0.9658119658119658	30887
13	351/39981	351	0.008779170105800255	0.0	1.0	39981
