	frac_text	positives	precision	prob	recall	total
0	73/90	73	0.8111111111111111	0.9	0.20797720797720798	90
1	89/117	89	0.7606837606837606	0.8	0.2535612535612536	117
2	102/138	102	0.7391304347826086	0.7	0.2905982905982906	138
3	111/157	111	0.7070063694267515	0.6	0.3162393162393162	157
4	114/172	114	0.6627906976744186	0.5	0.3247863247863248	172
5	125/193	125	0.6476683937823834	0.4	0.3561253561253561	193
6	133/218	133	0.6100917431192661	0.3	0.3789173789173789	218
7	141/260	141	0.5423076923076923	0.2	0.4017094017094017	260
8	168/339	168	0.49557522123893805	0.1	0.47863247863247865	339
9	189/516	189	0.36627906976744184	0.05	0.5384615384615384	516
10	249/3629	249	0.06861394323505098	0.01	0.7094017094017094	3629
11	282/8650	282	0.03260115606936416	0.005	0.8034188034188035	8650
12	330/26842	330	0.012294165859473958	0.001	0.9401709401709402	26842
13	351/39981	351	0.008779170105800255	0.0	1.0	39981
