	frac_text	positives	precision	prob	recall	total
0	60/60	60	1.0	0.9	0.17094017094017094	60
1	91/93	91	0.978494623655914	0.8	0.25925925925925924	93
2	104/109	104	0.9541284403669725	0.7	0.2962962962962963	109
3	115/125	115	0.92	0.6	0.32763532763532766	125
4	118/137	118	0.8613138686131386	0.5	0.33618233618233617	137
5	121/145	121	0.8344827586206897	0.4	0.34472934472934474	145
6	129/162	129	0.7962962962962963	0.3	0.36752136752136755	162
7	139/186	139	0.7473118279569892	0.2	0.396011396011396	186
8	156/229	156	0.6812227074235808	0.1	0.4444444444444444	229
9	173/289	173	0.5986159169550173	0.05	0.4928774928774929	289
10	215/598	215	0.3595317725752508	0.01	0.6125356125356125	598
11	232/989	232	0.2345803842264914	0.005	0.6609686609686609	989
12	274/4526	274	0.06053910737958462	0.001	0.7806267806267806	4526
13	351/39981	351	0.008779170105800255	0.0	1.0	39981
