	frac_text	positives	precision	prob	recall	total
0	39/44	39	0.8863636363636364	0.6	0.1111111111111111	44
1	89/123	89	0.7235772357723578	0.5	0.2535612535612536	123
2	195/8329	195	0.02341217433065194	0.4	0.5555555555555556	8329
3	304/29298	304	0.010376134889753566	0.3	0.8660968660968661	29298
4	312/31922	312	0.00977382369525719	0.2	0.8888888888888888	31922
5	315/31934	315	0.009864094695309075	0.1	0.8974358974358975	31934
6	319/31950	319	0.009984350547730829	0.05	0.9088319088319088	31950
7	331/32029	331	0.010334384464079428	0.01	0.9430199430199431	32029
8	333/32108	333	0.010371247041235829	0.005	0.9487179487179487	32108
9	342/32699	342	0.010459035444509006	0.001	0.9743589743589743	32699
10	351/39981	351	0.008779170105800255	0.0	1.0	39981
