	domain	domain_len	domain_precison	fold_imp	pos_frac	pos_num	prob
0	PHD_2	31	1.0	1.8181818181818181	0.3548387096774194	3	0.9
1	TFIIS_C	25	1.0	5.25	0.16	1	0.9
2	zf-CCHC	11	1.0	1.2	0.45454545454545453	3	0.9
3	zf-UBP	51	1.0	4.1000000000000005	0.19607843137254902	1	0.9
4	zf-MYND	38	1.0	3.75	0.21052631578947367	5	0.9
5	C1_1	42	1.0	4.25	0.19047619047619047	5	0.9
6	FG-GAP	16	1.0	3.0	0.25	3	0.9
7	zf-CXXC	41	1.0	4.125	0.1951219512195122	6	0.9
8	zf-A20	24	1.0	3.8000000000000003	0.20833333333333334	4	0.9
9	FYVE	64	1.0	7.0	0.125	1	0.9
10	Prok-RING_4	16	1.0	1.0	0.5	1	0.9
11	ZZ	44	1.0	3.8888888888888893	0.20454545454545456	4	0.9
12	zf-H2C2_5	21	1.0	4.25	0.19047619047619047	1	0.9
13	GATA	35	1.0	2.888888888888889	0.2571428571428571	4	0.9
14	zf-AN1	40	1.0	4.0	0.2	7	0.9
15	zf-CCCH	18	1.0	3.5	0.2222222222222222	4	0.9
16	LIM	35	1.0	2.5	0.2857142857142857	5	0.9
17	zf-B_box	40	1.0	4.0	0.2	2	0.9
18	PHD_2	31	1.0	1.8181818181818181	0.3548387096774194	5	0.8
19	TFIIS_C	25	1.0	5.25	0.16	4	0.8
20	zf-CCHC	11	1.0	1.2	0.45454545454545453	4	0.8
21	zf-UBP	51	1.0	4.1000000000000005	0.19607843137254902	1	0.8
22	zf-MYND	38	1.0	3.75	0.21052631578947367	6	0.8
23	C1_1	42	1.0	4.25	0.19047619047619047	7	0.8
24	FG-GAP	16	1.0	3.0	0.25	3	0.8
25	zf-CXXC	41	1.0	4.125	0.1951219512195122	8	0.8
26	zf-A20	24	1.0	3.8000000000000003	0.20833333333333334	4	0.8
27	FYVE	64	1.0	7.0	0.125	7	0.8
28	Prok-RING_4	16	1.0	1.0	0.5	4	0.8
29	ZZ	44	1.0	3.8888888888888893	0.20454545454545456	4	0.8
30	zf-H2C2_5	21	1.0	4.25	0.19047619047619047	1	0.8
31	GATA	35	1.0	2.888888888888889	0.2571428571428571	4	0.8
32	zf-AN1	40	1.0	4.0	0.2	8	0.8
33	zf-CCCH	18	1.0	3.5	0.2222222222222222	4	0.8
34	LIM	35	1.0	2.5	0.2857142857142857	7	0.8
35	zf-C4	54	1.0	5.0	0.16666666666666666	2	0.8
36	TSP_3	29	0.8571428571428571	1.9047619047619047	0.3103448275862069	7	0.8
37	zf-B_box	40	1.0	4.0	0.2	2	0.8
38	PHD_2	31	1.0	1.8181818181818181	0.3548387096774194	5	0.7
39	NTP_transf_2	79	1.0	38.5	0.02531645569620253	1	0.7
40	TFIIS_C	25	1.0	5.25	0.16	4	0.7
41	zf-CCHC	11	1.0	1.2	0.45454545454545453	4	0.7
42	zf-UBP	51	1.0	4.1000000000000005	0.19607843137254902	2	0.7
43	zf-MYND	38	1.0	3.75	0.21052631578947367	8	0.7
44	C1_1	42	1.0	4.25	0.19047619047619047	7	0.7
45	FG-GAP	16	1.0	3.0	0.25	3	0.7
46	zf-CXXC	41	1.0	4.125	0.1951219512195122	8	0.7
47	zf-A20	24	1.0	3.8000000000000003	0.20833333333333334	4	0.7
48	Peptidase_M14	235	0.0	0.0	0.00851063829787234	1	0.7
49	zf-C2H2_4	13	1.0	2.25	0.3076923076923077	1	0.7
50	zf-H2C2_2	13	1.0	2.25	0.3076923076923077	1	0.7
51	FYVE	64	1.0	7.0	0.125	7	0.7
52	Prok-RING_4	16	1.0	1.0	0.5	4	0.7
53	ZZ	44	1.0	3.8888888888888893	0.20454545454545456	4	0.7
54	zf-H2C2_5	21	1.0	4.25	0.19047619047619047	2	0.7
55	GATA	35	1.0	2.888888888888889	0.2571428571428571	4	0.7
56	zf-AN1	40	1.0	4.0	0.2	8	0.7
57	zf-CCCH	18	1.0	3.5	0.2222222222222222	4	0.7
58	Notch	30	1.0	6.5	0.13333333333333333	2	0.7
59	LIM	35	1.0	2.5	0.2857142857142857	7	0.7
60	zf-C4	54	1.0	5.0	0.16666666666666666	4	0.7
61	TSP_3	29	0.875	1.9444444444444444	0.3103448275862069	8	0.7
62	Hydrolase	153	1.0	75.5	0.013071895424836602	1	0.7
63	zf-B_box	40	1.0	4.0	0.2	2	0.7
64	PHD_2	31	1.0	1.8181818181818181	0.3548387096774194	5	0.6
65	NTP_transf_2	79	1.0	38.5	0.02531645569620253	1	0.6
66	TFIIS_C	25	1.0	5.25	0.16	4	0.6
67	zf-CCHC	11	1.0	1.2	0.45454545454545453	4	0.6
68	zf-UBP	51	1.0	4.1000000000000005	0.19607843137254902	3	0.6
69	Metallophos	116	1.0	22.2	0.04310344827586207	1	0.6
70	zf-MYND	38	1.0	3.75	0.21052631578947367	8	0.6
71	C1_1	42	1.0	4.25	0.19047619047619047	7	0.6
72	FG-GAP	16	1.0	3.0	0.25	3	0.6
73	zf-CXXC	41	1.0	4.125	0.1951219512195122	8	0.6
74	zf-A20	24	1.0	3.8000000000000003	0.20833333333333334	4	0.6
75	Peptidase_M14	235	0.0	0.0	0.00851063829787234	1	0.6
76	zf-C2H2_4	13	1.0	2.25	0.3076923076923077	1	0.6
77	zf-H2C2_2	13	1.0	2.25	0.3076923076923077	1	0.6
78	FYVE	64	1.0	7.0	0.125	8	0.6
79	Prok-RING_4	16	1.0	1.0	0.5	6	0.6
80	ZZ	44	1.0	3.8888888888888893	0.20454545454545456	4	0.6
81	zf-H2C2_5	21	1.0	4.25	0.19047619047619047	2	0.6
82	GATA	35	1.0	2.888888888888889	0.2571428571428571	4	0.6
83	zf-AN1	40	1.0	4.0	0.2	8	0.6
84	zf-CCCH	18	1.0	3.5	0.2222222222222222	4	0.6
85	Ldl_recept_a	13	0.6666666666666666	3.6666666666666665	0.15384615384615385	3	0.6
86	Notch	30	1.0	6.5	0.13333333333333333	2	0.6
87	LIM	35	1.0	2.5	0.2857142857142857	7	0.6
88	zf-C4	54	1.0	5.0	0.16666666666666666	7	0.6
89	TSP_3	29	0.875	1.9444444444444444	0.3103448275862069	8	0.6
90	Hydrolase	153	1.0	75.5	0.013071895424836602	1	0.6
91	zf-B_box	40	1.0	4.0	0.2	3	0.6
92	PHD_2	31	1.0	1.8181818181818181	0.3548387096774194	5	0.5
93	NTP_transf_2	79	1.0	38.5	0.02531645569620253	1	0.5
94	TFIIS_C	25	1.0	5.25	0.16	4	0.5
95	zf-CCHC	11	1.0	1.2	0.45454545454545453	4	0.5
96	zf-UBP	51	1.0	4.1000000000000005	0.19607843137254902	4	0.5
97	Metallophos	116	1.0	22.2	0.04310344827586207	1	0.5
98	zf-MYND	38	1.0	3.75	0.21052631578947367	8	0.5
99	C1_1	42	1.0	4.25	0.19047619047619047	7	0.5
100	FG-GAP	16	1.0	3.0	0.25	3	0.5
101	zf-CXXC	41	1.0	4.125	0.1951219512195122	8	0.5
102	zf-A20	24	1.0	3.8000000000000003	0.20833333333333334	4	0.5
103	Peptidase_M14	235	0.0	0.0	0.00851063829787234	1	0.5
104	zf-C2H2_4	13	1.0	2.25	0.3076923076923077	1	0.5
105	zf-H2C2_2	13	1.0	2.25	0.3076923076923077	1	0.5
106	FYVE	64	1.0	7.0	0.125	8	0.5
107	Prok-RING_4	16	1.0	1.0	0.5	6	0.5
108	ZZ	44	1.0	3.8888888888888893	0.20454545454545456	4	0.5
109	zf-H2C2_5	21	1.0	4.25	0.19047619047619047	2	0.5
110	GATA	35	1.0	2.888888888888889	0.2571428571428571	4	0.5
111	zf-AN1	40	1.0	4.0	0.2	8	0.5
112	zf-CCCH	18	1.0	3.5	0.2222222222222222	4	0.5
113	Ldl_recept_a	13	0.6666666666666666	3.6666666666666665	0.15384615384615385	3	0.5
114	Notch	30	1.0	6.5	0.13333333333333333	2	0.5
115	LIM	35	1.0	2.5	0.2857142857142857	7	0.5
116	zf-C4	54	1.0	5.0	0.16666666666666666	8	0.5
117	TSP_3	29	0.875	1.9444444444444444	0.3103448275862069	8	0.5
