	frac_text	positives	precision	prob	recall	total
0	12/21	12	0.5714285714285714	0.9	0.027522935779816515	21
1	13/26	13	0.5	0.8	0.02981651376146789	26
2	15/31	15	0.4838709677419355	0.7	0.034403669724770644	31
3	15/36	15	0.4166666666666667	0.6	0.034403669724770644	36
4	17/43	17	0.3953488372093023	0.5	0.0389908256880734	43
5	18/54	18	0.3333333333333333	0.4	0.04128440366972477	54
6	21/66	21	0.3181818181818182	0.3	0.0481651376146789	66
7	24/95	24	0.25263157894736843	0.2	0.05504587155963303	95
8	38/582	38	0.06529209621993128	0.1	0.0871559633027523	582
9	115/7606	115	0.015119642387588745	0.05	0.26376146788990823	7606
10	304/23305	304	0.013044411070585711	0.01	0.6972477064220184	23305
11	317/25893	317	0.012242691074807863	0.005	0.7270642201834863	25893
12	403/31402	403	0.012833577479141456	0.001	0.9243119266055045	31402
13	436/41541	436	0.010495654895163815	0.0	1.0	41541
