	frac_text	positives	precision	prob	recall	total
0	55/153	55	0.35947712418300654	0.9	0.12614678899082568	153
1	56/164	56	0.34146341463414637	0.8	0.12844036697247707	164
2	56/173	56	0.3236994219653179	0.7	0.12844036697247707	173
3	56/183	56	0.30601092896174864	0.6	0.12844036697247707	183
4	58/188	58	0.30851063829787234	0.5	0.13302752293577982	188
5	61/200	61	0.305	0.4	0.13990825688073394	200
6	62/212	62	0.29245283018867924	0.3	0.14220183486238533	212
7	62/227	62	0.27312775330396477	0.2	0.14220183486238533	227
8	64/259	64	0.2471042471042471	0.1	0.14678899082568808	259
9	66/284	66	0.2323943661971831	0.05	0.15137614678899083	284
10	72/381	72	0.1889763779527559	0.01	0.1651376146788991	381
11	74/426	74	0.17370892018779344	0.005	0.16972477064220184	426
12	82/556	82	0.1474820143884892	0.001	0.18807339449541285	556
13	436/41541	436	0.010495654895163815	0.0	1.0	41541
