	frac_text	positives	precision	prob	recall	total
0	5/9	5	0.5555555555555556	0.5	0.011467889908256881	9
1	38/105	38	0.3619047619047619	0.4	0.0871559633027523	105
2	52/330	52	0.15757575757575756	0.3	0.11926605504587157	330
3	85/804	85	0.10572139303482588	0.2	0.19495412844036697	804
4	135/2861	135	0.04718629849702901	0.1	0.30963302752293576	2861
5	197/7408	197	0.026592872570194385	0.05	0.4518348623853211	7408
6	333/21242	333	0.015676489972695603	0.01	0.7637614678899083	21242
7	415/33115	415	0.012532085157783483	0.005	0.9518348623853211	33115
8	432/38838	432	0.011123126834543489	0.001	0.9908256880733946	38838
9	436/41541	436	0.010495654895163815	0.0	1.0	41541
