	frac_text	positives	precision	prob	recall	total
0	0/1	0	0.0	0.9	0.0	1
1	0/6	0	0.0	0.8	0.0	6
2	0/7	0	0.0	0.7	0.0	7
3	0/8	0	0.0	0.6	0.0	8
4	0/12	0	0.0	0.5	0.0	12
5	2/18	2	0.1111111111111111	0.4	0.0045871559633027525	18
6	3/38	3	0.07894736842105263	0.3	0.006880733944954129	38
7	19/817	19	0.023255813953488372	0.2	0.04357798165137615	817
8	96/8443	96	0.011370365983655099	0.1	0.22018348623853212	8443
9	105/8716	105	0.012046810463515373	0.05	0.2408256880733945	8716
10	278/20515	278	0.013551060199853766	0.01	0.6376146788990825	20515
11	415/34525	415	0.012020275162925417	0.005	0.9518348623853211	34525
12	432/39182	432	0.011025470879485478	0.001	0.9908256880733946	39182
13	436/41541	436	0.010495654895163815	0.0	1.0	41541
