	frac_text	positives	precision	prob	recall	total
0	1/1	1	1.0	0.8	0.0022935779816513763	1
1	1/1	1	1.0	0.7	0.0022935779816513763	1
2	2/2	2	1.0	0.6	0.0045871559633027525	2
3	4/4	4	1.0	0.5	0.009174311926605505	4
4	6/6	6	1.0	0.4	0.013761467889908258	6
5	11/11	11	1.0	0.3	0.02522935779816514	11
6	16/16	16	1.0	0.2	0.03669724770642202	16
7	23/29	23	0.7931034482758621	0.1	0.052752293577981654	29
8	43/87	43	0.4942528735632184	0.05	0.09862385321100918	87
9	102/616	102	0.16558441558441558	0.01	0.23394495412844038	616
10	132/1228	132	0.10749185667752444	0.005	0.30275229357798167	1228
11	223/5519	223	0.04040587062873709	0.001	0.5114678899082569	5519
12	436/41541	436	0.010495654895163815	0.0	1.0	41541
