	frac_text	positives	precision	prob	recall	total
0	1/1	1	1.0	0.6	0.0022935779816513763	1
1	5/5	5	1.0	0.5	0.011467889908256881	5
2	7/8	7	0.875	0.4	0.016055045871559634	8
3	11/13	11	0.8461538461538461	0.3	0.02522935779816514	13
4	26/35	26	0.7428571428571429	0.2	0.05963302752293578	35
5	43/68	43	0.6323529411764706	0.1	0.09862385321100918	68
6	62/132	62	0.4696969696969697	0.05	0.14220183486238533	132
7	94/959	94	0.09801876955161627	0.01	0.21559633027522937	959
8	183/3333	183	0.05490549054905491	0.005	0.4197247706422018	3333
9	387/27053	387	0.014305252652201235	0.001	0.8876146788990825	27053
10	436/41541	436	0.010495654895163815	0.0	1.0	41541
