	frac_text	positives	precision	prob	recall	total
0	136/2335	136	0.058244111349036405	0.5	0.256120527306968	2335
1	162/3509	162	0.04616699914505557	0.4	0.3050847457627119	3509
2	180/5281	180	0.03408445370195039	0.3	0.3389830508474576	5281
3	201/8002	201	0.02511872031992002	0.2	0.3785310734463277	8002
4	299/13259	299	0.02255072026548005	0.1	0.5630885122410546	13259
5	372/23215	372	0.016024122334697393	0.05	0.7005649717514124	23215
6	468/28625	468	0.01634934497816594	0.01	0.8813559322033898	28625
7	495/31216	495	0.01585725269092773	0.005	0.9322033898305084	31216
8	522/39680	522	0.01315524193548387	0.001	0.9830508474576272	39680
9	528/41068	528	0.0128567254309925	0.0005	0.9943502824858758	41068
10	531/42656	531	0.012448424606151538	0.0001	1.0	42656
11	531/44251	531	0.01199972881968769	0.0	1.0	44251
