	frac_text	positives	precision	prob	recall	total
0	7/41	7	0.17073170731707318	0.5	0.013182674199623353	41
1	12/65	12	0.18461538461538463	0.4	0.022598870056497175	65
2	23/121	23	0.19008264462809918	0.3	0.04331450094161959	121
3	38/268	38	0.1417910447761194	0.2	0.07156308851224105	268
4	101/1640	101	0.061585365853658536	0.1	0.1902071563088512	1640
5	269/18108	269	0.014855312569030263	0.05	0.5065913370998116	18108
6	352/18868	352	0.018655925376298496	0.01	0.6629001883239172	18868
7	414/20295	414	0.020399113082039913	0.005	0.7796610169491526	20295
8	513/34229	513	0.014987291477986503	0.001	0.9661016949152542	34229
9	526/39618	526	0.013276793376747942	0.0005	0.9905838041431262	39618
10	530/44216	530	0.01198661118147277	0.0001	0.9981167608286252	44216
11	531/44251	531	0.01199972881968769	0.0	1.0	44251
