	frac_text	positives	precision	prob	recall	total
0	49/196	49	0.25	0.5	0.09227871939736347	196
1	56/215	56	0.26046511627906976	0.4	0.10546139359698682	215
2	60/238	60	0.25210084033613445	0.3	0.11299435028248588	238
3	67/272	67	0.24632352941176472	0.2	0.12617702448210924	272
4	74/318	74	0.23270440251572327	0.1	0.1393596986817326	318
5	85/369	85	0.23035230352303523	0.05	0.160075329566855	369
6	93/508	93	0.1830708661417323	0.01	0.1751412429378531	508
7	99/580	99	0.1706896551724138	0.005	0.1864406779661017	580
8	124/814	124	0.15233415233415235	0.001	0.2335216572504708	814
9	138/962	138	0.14345114345114346	0.0005	0.2598870056497175	962
10	164/1435	164	0.11428571428571428	0.0001	0.3088512241054614	1435
11	531/44251	531	0.01199972881968769	0.0	1.0	44251
