	frac_text	positives	precision	prob	recall	total
0	12/29	12	0.41379310344827586	0.6	0.022598870056497175	29
1	51/191	51	0.2670157068062827	0.5	0.096045197740113	191
2	95/473	95	0.20084566596194503	0.4	0.17890772128060264	473
3	133/1002	133	0.13273453093812376	0.3	0.2504708097928437	1002
4	185/2424	185	0.07632013201320131	0.2	0.3483992467043315	2424
5	355/7739	355	0.045871559633027525	0.1	0.6685499058380414	7739
6	441/15226	441	0.02896361486930251	0.05	0.8305084745762712	15226
7	526/31663	526	0.01661244986261567	0.01	0.9905838041431262	31663
8	528/34618	528	0.015252180946328499	0.005	0.9943502824858758	34618
9	528/39020	528	0.01353152229625833	0.001	0.9943502824858758	39020
10	528/39676	528	0.013307793124306886	0.0005	0.9943502824858758	39676
11	528/39966	528	0.013211229545113347	0.0001	0.9943502824858758	39966
12	531/44251	531	0.01199972881968769	0.0	1.0	44251
