	frac_text	positives	precision	prob	recall	total
0	11/113	11	0.09734513274336283	0.5	0.02071563088512241	113
1	14/146	14	0.0958904109589041	0.4	0.026365348399246705	146
2	25/193	25	0.12953367875647667	0.3	0.047080979284369114	193
3	41/299	41	0.13712374581939799	0.2	0.07721280602636535	299
4	71/561	71	0.1265597147950089	0.1	0.1337099811676083	561
5	116/1013	116	0.11451135241855874	0.05	0.2184557438794727	1013
6	357/14019	357	0.025465439760325274	0.01	0.672316384180791	14019
7	403/19364	403	0.020811815740549473	0.005	0.7589453860640302	19364
8	464/31513	464	0.014724082124837369	0.001	0.8738229755178908	31513
9	471/34732	471	0.013560981227686283	0.0005	0.8870056497175142	34732
10	491/38796	491	0.012655943911743479	0.0001	0.9246704331450094	38796
11	531/44251	531	0.01199972881968769	0.0	1.0	44251
