	frac_text	positives	precision	prob	recall	total
0	0/6	0	0.0	0.5	0.0	6
1	0/6	0	0.0	0.4	0.0	6
2	0/6	0	0.0	0.3	0.0	6
3	0/8	0	0.0	0.2	0.0	8
4	6/19	6	0.3157894736842105	0.1	0.02912621359223301	19
5	11/39	11	0.28205128205128205	0.05	0.05339805825242718	39
6	35/98	35	0.35714285714285715	0.01	0.16990291262135923	98
7	44/135	44	0.32592592592592595	0.005	0.21359223300970873	135
8	76/278	76	0.2733812949640288	0.001	0.36893203883495146	278
9	88/365	88	0.2410958904109589	0.0005	0.42718446601941745	365
10	112/824	112	0.13592233009708737	0.0001	0.5436893203883495	824
11	206/43933	206	0.004688958186329183	0.0	1.0	43933
