	frac_text	positives	precision	prob	recall	total
0	5/5	5	1.0	0.5	0.011111111111111112	5
1	7/7	7	1.0	0.4	0.015555555555555555	7
2	8/10	8	0.8	0.3	0.017777777777777778	10
3	13/22	13	0.5909090909090909	0.2	0.028888888888888888	22
4	24/42	24	0.5714285714285714	0.1	0.05333333333333334	42
5	36/77	36	0.4675324675324675	0.05	0.08	77
6	84/176	84	0.4772727272727273	0.01	0.18666666666666668	176
7	113/238	113	0.47478991596638653	0.005	0.2511111111111111	238
8	161/492	161	0.32723577235772355	0.001	0.35777777777777775	492
9	190/695	190	0.2733812949640288	0.0005	0.4222222222222222	695
10	244/1461	244	0.16700889801505817	0.0001	0.5422222222222223	1461
11	450/41840	450	0.010755258126195029	0.0	1.0	41840
