	frac_text	positives	precision	prob	recall	total
0	0/22	0	0.0	0.5	0.0	22
1	0/37	0	0.0	0.4	0.0	37
2	1/56	1	0.017857142857142856	0.3	0.0018832391713747645	56
3	11/95	11	0.11578947368421053	0.2	0.02071563088512241	95
4	65/305	65	0.21311475409836064	0.1	0.1224105461393597	305
5	125/940	125	0.13297872340425532	0.05	0.23540489642184556	940
6	218/9664	218	0.02255794701986755	0.01	0.4105461393596987	9664
7	253/10207	253	0.02478691094347017	0.005	0.4764595103578154	10207
8	352/12993	352	0.02709151081351497	0.001	0.6629001883239172	12993
9	394/15476	394	0.025458774877229258	0.0005	0.7419962335216572	15476
10	507/29667	507	0.017089695621397512	0.0001	0.9548022598870056	29667
11	531/44251	531	0.01199972881968769	0.0	1.0	44251
