	frac_text	positives	precision	prob	recall	total
0	170/2885	170	0.058925476603119586	0.5	0.32015065913371	2885
1	192/11792	192	0.016282225237449117	0.4	0.3615819209039548	11792
2	214/13319	214	0.016067272317741573	0.3	0.4030131826741996	13319
3	224/17105	224	0.013095586085939784	0.2	0.4218455743879473	17105
4	263/17250	263	0.015246376811594202	0.1	0.4952919020715631	17250
5	318/17756	318	0.017909439062851994	0.05	0.5988700564971752	17756
6	360/26288	360	0.013694461351186854	0.01	0.6779661016949152	26288
7	370/26515	370	0.013954365453516877	0.005	0.696798493408663	26515
8	430/28541	430	0.015066045338285273	0.001	0.8097928436911488	28541
9	487/30803	487	0.015810148362172517	0.0005	0.9171374764595104	30803
10	531/41470	531	0.012804436942367978	0.0001	1.0	41470
11	531/44251	531	0.01199972881968769	0.0	1.0	44251
