	domain	domain_len	domain_precison	fold_imp	pos_frac	pos_num	prob
0	LSM	47	0.4375	0.9333333333333333	0.3191489361702128	16	0.5
1	S4	48	1.0	0.23076923076923078	0.8125	1	0.4
2	LSM	47	0.45454545454545453	0.9696969696969696	0.3191489361702128	22	0.4
3	TPR_1	29	1.0	0.9333333333333333	0.5172413793103449	1	0.4
4	zf-CCHC	18	0.75	0.09375	0.8888888888888888	4	0.3
5	S4	48	1.0	0.23076923076923078	0.8125	4	0.3
6	KOW	29	0.0	0.0	0.6896551724137931	1	0.3
7	LSM	47	0.3793103448275862	0.8091954022988506	0.3191489361702128	29	0.3
8	TPR_1	29	1.0	0.9333333333333333	0.5172413793103449	5	0.3
9	zf-CCHC	18	0.8333333333333334	0.10416666666666667	0.8888888888888888	6	0.2
10	S4	48	1.0	0.23076923076923078	0.8125	9	0.2
11	KOW	29	0.5	0.22499999999999998	0.6896551724137931	4	0.2
12	LSM	47	0.3	0.64	0.3191489361702128	40	0.2
13	TPR_1	29	0.7692307692307693	0.7179487179487181	0.5172413793103449	13	0.2
14	zf-CCHC	18	0.7777777777777778	0.09722222222222222	0.8888888888888888	9	0.1
15	S4	48	0.9545454545454546	0.22027972027972031	0.8125	22	0.1
16	RRM_1	55	0.5	0.2638888888888889	0.6545454545454545	2	0.1
17	KOW	29	0.7777777777777778	0.35	0.6896551724137931	9	0.1
18	LSM	47	0.3191489361702128	0.6808510638297872	0.3191489361702128	47	0.1
19	Helicase_C	35	1.0	2.888888888888889	0.2571428571428571	4	0.1
20	dsrm	63	0.7142857142857143	0.6092436974789917	0.5396825396825397	21	0.1
21	S1	60	0.26666666666666666	1.7333333333333332	0.13333333333333333	15	0.1
22	TPR_1	29	0.5185185185185185	0.4839506172839506	0.5172413793103449	27	0.1
23	zf-CCCH	24	0.5416666666666666	0.45833333333333326	0.5416666666666666	24	0.1
24	tRNA-synt_1	511	0.0	0.0	0.09784735812133072	18	0.1
25	Ribosomal_L7Ae	84	0.0	0.0	0.42857142857142855	3	0.1
26	RNase_T	161	0.0	0.0	0.10559006211180125	2	0.1
27	LRR_4	32	1.0	3.571428571428571	0.21875	1	0.05
28	zf-CCHC	18	0.8	0.1	0.8888888888888888	10	0.05
29	S4	48	0.8	0.18461538461538463	0.8125	40	0.05
30	RRM_1	55	0.6	0.31666666666666665	0.6545454545454545	5	0.05
31	KOW	29	0.75	0.33749999999999997	0.6896551724137931	16	0.05
32	LSM	47	0.3191489361702128	0.6808510638297872	0.3191489361702128	47	0.05
33	LRR_8	52	0.34782608695652173	0.7161125319693095	0.3269230769230769	46	0.05
34	Helicase_C	35	0.2571428571428571	0.7428571428571428	0.2571428571428571	35	0.05
35	dsrm	63	0.5396825396825397	0.46031746031746035	0.5396825396825397	63	0.05
36	S1	60	0.13333333333333333	0.8666666666666666	0.13333333333333333	60	0.05
37	TPR_1	29	0.5172413793103449	0.4827586206896552	0.5172413793103449	29	0.05
38	zf-CCCH	24	0.5416666666666666	0.45833333333333326	0.5416666666666666	24	0.05
39	tRNA-synt_1	511	0.09784735812133072	0.9021526418786692	0.09784735812133072	511	0.05
40	Ribosomal_L7Ae	84	0.42857142857142855	0.5714285714285714	0.42857142857142855	84	0.05
41	RNase_T	161	0.10559006211180125	0.8944099378881988	0.10559006211180125	161	0.05
42	LRR_4	32	0.42857142857142855	1.5306122448979589	0.21875	7	0.01
43	NTP_transf_2	70	0.0	0.0	0.18571428571428572	5	0.01
44	zf-CCHC	18	0.8666666666666667	0.10833333333333334	0.8888888888888888	15	0.01
45	CSD	64	0.37142857142857144	0.7090909090909091	0.34375	35	0.01
46	KH_1	55	0.4583333333333333	0.5920138888888888	0.43636363636363634	24	0.01
47	S4	48	0.8043478260869565	0.18561872909698998	0.8125	46	0.01
48	WD40	15	0.0	0.0	0.06666666666666667	2	0.01
49	RRM_1	55	0.6111111111111112	0.3225308641975309	0.6545454545454545	36	0.01
50	NUDIX	120	0.0	0.0	0.1	1	0.01
51	KOW	29	0.6896551724137931	0.3103448275862069	0.6896551724137931	29	0.01
52	Ribosomal_S4	61	0.8125	0.34011627906976744	0.7049180327868853	16	0.01
53	TPR_17	31	0.75	0.5416666666666666	0.5806451612903226	8	0.01
54	LSM	47	0.3191489361702128	0.6808510638297872	0.3191489361702128	47	0.01
55	LRR_8	52	0.3269230769230769	0.6730769230769231	0.3269230769230769	52	0.01
56	Helicase_C	35	0.2571428571428571	0.7428571428571428	0.2571428571428571	35	0.01
57	dsrm	63	0.5396825396825397	0.46031746031746035	0.5396825396825397	63	0.01
58	S1	60	0.13333333333333333	0.8666666666666666	0.13333333333333333	60	0.01
59	TPR_1	29	0.5172413793103449	0.4827586206896552	0.5172413793103449	29	0.01
60	zf-CCCH	24	0.5416666666666666	0.45833333333333326	0.5416666666666666	24	0.01
61	tRNA-synt_1	511	0.09784735812133072	0.9021526418786692	0.09784735812133072	511	0.01
62	Ribosomal_L7Ae	84	0.42857142857142855	0.5714285714285714	0.42857142857142855	84	0.01
63	RNase_T	161	0.10559006211180125	0.8944099378881988	0.10559006211180125	161	0.01
