	domain	domain_len	domain_precison	fold_imp	pos_frac	pos_num	prob
0	S4	33	1.0	0.375	0.7272727272727273	1	0.1
1	Ribosomal_S4	51	1.0	0.5454545454545455	0.6470588235294118	4	0.1
2	LSM	40	1.0	4.714285714285714	0.175	1	0.1
3	zf-CCHC	11	0.75	0.16666666666666666	0.8181818181818182	4	0.05
4	S4	33	1.0	0.375	0.7272727272727273	1	0.05
5	Ribosomal_S4	51	1.0	0.5454545454545455	0.6470588235294118	5	0.05
6	LSM	40	0.5	2.357142857142857	0.175	4	0.05
7	zf-CCHC	11	0.8	0.17777777777777778	0.8181818181818182	5	0.01
8	S4	33	0.8888888888888888	0.3333333333333333	0.7272727272727273	9	0.01
9	Ribosomal_S4	51	0.8947368421052632	0.48803827751196177	0.6470588235294118	19	0.01
10	LSM	40	0.42857142857142855	2.020408163265306	0.175	14	0.01
