	domain	domain_len	domain_precison	fold_imp	pos_frac	pos_num	prob
0	LSM	47	0.0	0.0	0.3191489361702128	1	0.5
1	LSM	47	0.0	0.0	0.3191489361702128	3	0.4
2	LSM	47	0.14285714285714285	0.30476190476190473	0.3191489361702128	7	0.3
3	S4	48	0.875	0.20192307692307693	0.8125	8	0.2
4	LSM	47	0.2857142857142857	0.6095238095238095	0.3191489361702128	14	0.2
5	LRR_4	32	0.5	1.7857142857142856	0.21875	2	0.1
6	zf-CCHC	18	1.0	0.125	0.8888888888888888	3	0.1
7	KH_1	55	1.0	1.2916666666666667	0.43636363636363634	2	0.1
8	S4	48	0.8125	0.1875	0.8125	48	0.1
9	PUF	21	0.5333333333333333	0.3282051282051282	0.6190476190476191	15	0.1
10	Ribosomal_S4	61	1.0	0.4186046511627907	0.7049180327868853	1	0.1
11	LSM	47	0.3548387096774194	0.756989247311828	0.3191489361702128	31	0.1
12	LRR_4	32	0.75	2.6785714285714284	0.21875	4	0.05
13	zf-CCHC	18	1.0	0.125	0.8888888888888888	6	0.05
14	CSD	64	1.0	1.909090909090909	0.34375	2	0.05
15	KH_1	55	0.7407407407407407	0.95679012345679	0.43636363636363634	27	0.05
16	S4	48	0.8125	0.1875	0.8125	48	0.05
17	PUF	21	0.6190476190476191	0.380952380952381	0.6190476190476191	21	0.05
18	WD40	15	0.0	0.0	0.06666666666666667	7	0.05
19	RRM_1	55	0.6129032258064516	0.3234767025089606	0.6545454545454545	31	0.05
20	Ribosomal_S4	61	0.8888888888888888	0.37209302325581395	0.7049180327868853	9	0.05
21	LSM	47	0.3488372093023256	0.7441860465116279	0.3191489361702128	43	0.05
22	Nop	188	0.0	0.0	0.18085106382978725	2	0.01
23	LRR_4	32	0.8333333333333334	2.976190476190476	0.21875	6	0.01
24	zf-CCHC	18	0.8823529411764706	0.11029411764705882	0.8888888888888888	17	0.01
25	CSD	64	0.43478260869565216	0.8300395256916996	0.34375	23	0.01
26	KH_1	55	0.43636363636363634	0.5636363636363636	0.43636363636363634	55	0.01
27	S4	48	0.8125	0.1875	0.8125	48	0.01
28	PUF	21	0.6190476190476191	0.380952380952381	0.6190476190476191	21	0.01
29	WD40	15	0.06666666666666667	0.9333333333333333	0.06666666666666667	15	0.01
30	RRM_1	55	0.6545454545454545	0.34545454545454546	0.6545454545454545	55	0.01
31	KOW	29	0.7272727272727273	0.32727272727272727	0.6896551724137931	11	0.01
32	Ribosomal_S4	61	0.7647058823529411	0.32010943912448697	0.7049180327868853	51	0.01
33	TPR_17	31	0.8	0.5777777777777778	0.5806451612903226	10	0.01
34	LSM	47	0.3191489361702128	0.6808510638297872	0.3191489361702128	47	0.01
35	zf-CCCH	24	0.5555555555555556	0.4700854700854701	0.5416666666666666	9	0.01
