	frac_text	positives	precision	prob	recall	total
0	0/1	0	0.0	0.4	0.0	1
1	0/1	0	0.0	0.3	0.0	1
2	0/2	0	0.0	0.2	0.0	2
3	2/6	2	0.3333333333333333	0.1	0.014705882352941176	6
4	6/12	6	0.5	0.05	0.04411764705882353	12
5	20/42	20	0.47619047619047616	0.01	0.14705882352941177	42
6	27/63	27	0.42857142857142855	0.005	0.19852941176470587	63
7	48/164	48	0.2926829268292683	0.001	0.35294117647058826	164
8	55/229	55	0.24017467248908297	0.0005	0.40441176470588236	229
9	75/631	75	0.11885895404120443	0.0001	0.5514705882352942	631
10	136/44080	136	0.0030852994555353903	0.0	1.0	44080
