	frac_text	positives	precision	prob	recall	total
0	0/1	0	0.0	0.5	0.0	1
1	0/1	0	0.0	0.4	0.0	1
2	0/1	0	0.0	0.3	0.0	1
3	0/2	0	0.0	0.2	0.0	2
4	0/4	0	0.0	0.1	0.0	4
5	3/21	3	0.14285714285714285	0.05	0.010344827586206896	21
6	11/61	11	0.18032786885245902	0.01	0.03793103448275862	61
7	19/100	19	0.19	0.005	0.06551724137931035	100
8	46/263	46	0.17490494296577946	0.001	0.15862068965517243	263
9	67/405	67	0.1654320987654321	0.0005	0.23103448275862068	405
10	108/1088	108	0.09926470588235294	0.0001	0.3724137931034483	1088
11	290/42107	290	0.006887215902344028	0.0	1.0	42107
