	frac_text	positives	precision	prob	recall	total
0	0/6	0	0.0	0.9	0.0	6
1	0/6	0	0.0	0.8	0.0	6
2	0/6	0	0.0	0.7	0.0	6
3	2/9	2	0.2222222222222222	0.6	0.0024242424242424242	9
4	6/17	6	0.35294117647058826	0.5	0.007272727272727273	17
5	19/38	19	0.5	0.4	0.02303030303030303	38
6	43/95	43	0.45263157894736844	0.3	0.052121212121212124	95
7	87/305	87	0.28524590163934427	0.2	0.10545454545454545	305
8	232/1702	232	0.136310223266745	0.1	0.2812121212121212	1702
9	412/7124	412	0.05783267827063447	0.05	0.4993939393939394	7124
10	672/21707	672	0.030957755562721703	0.01	0.8145454545454546	21707
11	754/25519	754	0.029546612328069283	0.005	0.9139393939393939	25519
12	824/33004	824	0.02496667070658102	0.001	0.9987878787878788	33004
13	825/33522	825	0.02461070341865044	0.0	1.0	33522
