	frac_text	positives	precision	prob	recall	total
0	54/213	54	0.2535211267605634	0.9	0.06545454545454546	213
1	64/263	64	0.24334600760456274	0.8	0.07757575757575758	263
2	77/314	77	0.24522292993630573	0.7	0.09333333333333334	314
3	90/374	90	0.24064171122994651	0.6	0.10909090909090909	374
4	105/441	105	0.23809523809523808	0.5	0.12727272727272726	441
5	128/549	128	0.2331511839708561	0.4	0.15515151515151515	549
6	150/676	150	0.22189349112426035	0.3	0.18181818181818182	676
7	177/891	177	0.19865319865319866	0.2	0.21454545454545454	891
8	224/1355	224	0.16531365313653137	0.1	0.27151515151515154	1355
9	278/1995	278	0.1393483709273183	0.05	0.336969696969697	1995
10	388/4760	388	0.08151260504201681	0.01	0.4703030303030303	4760
11	436/6859	436	0.06356611750984109	0.005	0.5284848484848484	6859
12	526/13083	526	0.04020484598333716	0.001	0.6375757575757576	13083
13	825/33522	825	0.02461070341865044	0.0	1.0	33522
