	frac_text	positives	precision	prob	recall	total
0	2/3	2	0.6666666666666666	0.8	0.0024242424242424242	3
1	15/25	15	0.6	0.7	0.01818181818181818	25
2	42/80	42	0.525	0.6	0.05090909090909091	80
3	80/212	80	0.37735849056603776	0.5	0.09696969696969697	212
4	146/588	146	0.24829931972789115	0.4	0.17696969696969697	588
5	241/1481	241	0.16272788656313303	0.3	0.2921212121212121	1481
6	412/4275	412	0.09637426900584796	0.2	0.4993939393939394	4275
7	650/15294	650	0.04250032692559173	0.1	0.7878787878787878	15294
8	792/26859	792	0.029487322685133474	0.05	0.96	26859
9	825/33388	825	0.024709476458607882	0.01	1.0	33388
10	825/33513	825	0.024617312684629845	0.005	1.0	33513
11	825/33522	825	0.02461070341865044	0.001	1.0	33522
12	825/33522	825	0.02461070341865044	0.0	1.0	33522
