	frac_text	positives	precision	prob	recall	total
0	27/42	27	0.6428571428571429	0.9	0.03272727272727273	42
1	35/63	35	0.5555555555555556	0.8	0.04242424242424243	63
2	46/95	46	0.4842105263157895	0.7	0.055757575757575756	95
3	57/129	57	0.4418604651162791	0.6	0.06909090909090909	129
4	67/163	67	0.4110429447852761	0.5	0.08121212121212121	163
5	87/206	87	0.4223300970873786	0.4	0.10545454545454545	206
6	112/298	112	0.37583892617449666	0.3	0.13575757575757577	298
7	152/526	152	0.2889733840304182	0.2	0.18424242424242424	526
8	252/1229	252	0.2050447518307567	0.1	0.3054545454545455	1229
9	364/3062	364	0.11887655127367734	0.05	0.4412121212121212	3062
10	696/16548	696	0.04205946337926034	0.01	0.8436363636363636	16548
11	771/23947	771	0.032196099720215476	0.005	0.9345454545454546	23947
12	824/32756	824	0.025155696666259615	0.001	0.9987878787878788	32756
13	825/33522	825	0.02461070341865044	0.0	1.0	33522
