	frac_text	positives	precision	prob	recall	total
0	2/2	2	1.0	0.9	0.0024242424242424242	2
1	6/6	6	1.0	0.8	0.007272727272727273	6
2	9/9	9	1.0	0.7	0.01090909090909091	9
3	15/16	15	0.9375	0.6	0.01818181818181818	16
4	23/26	23	0.8846153846153846	0.5	0.027878787878787878	26
5	34/43	34	0.7906976744186046	0.4	0.041212121212121214	43
6	45/62	45	0.7258064516129032	0.3	0.05454545454545454	62
7	60/99	60	0.6060606060606061	0.2	0.07272727272727272	99
8	100/209	100	0.4784688995215311	0.1	0.12121212121212122	209
9	161/449	161	0.3585746102449889	0.05	0.19515151515151516	449
10	348/2447	348	0.14221495709031468	0.01	0.4218181818181818	2447
11	440/4830	440	0.09109730848861283	0.005	0.5333333333333333	4830
12	670/16657	670	0.04022332953112805	0.001	0.8121212121212121	16657
13	825/33522	825	0.02461070341865044	0.0	1.0	33522
