	frac_text	positives	precision	prob	recall	total
0	4/5	4	0.8	0.7	0.0048484848484848485	5
1	8/12	8	0.6666666666666666	0.6	0.009696969696969697	12
2	17/28	17	0.6071428571428571	0.5	0.020606060606060607	28
3	62/286	62	0.21678321678321677	0.4	0.07515151515151515	286
4	184/6859	184	0.026826067939932936	0.3	0.22303030303030302	6859
5	191/6898	191	0.02768918527109307	0.2	0.2315151515151515	6898
6	230/7218	230	0.031864782488223886	0.1	0.2787878787878788	7218
7	390/13625	390	0.028623853211009173	0.05	0.4727272727272727	13625
8	572/14901	572	0.038386685457351855	0.01	0.6933333333333334	14901
9	697/21976	697	0.03171641791044776	0.005	0.8448484848484848	21976
10	825/33522	825	0.02461070341865044	0.001	1.0	33522
11	825/33522	825	0.02461070341865044	0.0	1.0	33522
