	frac_text	positives	precision	prob	recall	total
0	1/1	1	1.0	0.9	0.0025188916876574307	1
1	7/8	7	0.875	0.8	0.017632241813602016	8
2	19/21	19	0.9047619047619048	0.7	0.04785894206549118	21
3	42/53	42	0.7924528301886793	0.6	0.10579345088161209	53
4	75/105	75	0.7142857142857143	0.5	0.1889168765743073	105
5	101/181	101	0.5580110497237569	0.4	0.25440806045340053	181
6	135/334	135	0.4041916167664671	0.3	0.34005037783375314	334
7	191/864	191	0.22106481481481483	0.2	0.4811083123425693	864
8	281/2455	281	0.11446028513238289	0.1	0.707808564231738	2455
9	326/6217	326	0.05243686665594338	0.05	0.8211586901763224	6217
10	358/24327	358	0.014716159000287747	0.01	0.9017632241813602	24327
11	384/32988	384	0.011640596580574755	0.005	0.9672544080604534	32988
12	395/41951	395	0.009415746942861911	0.001	0.9949622166246851	41951
13	397/44281	397	0.008965470517829317	0.0	1.0	44281
