	frac_text	positives	precision	prob	recall	total
0	2/2	2	1.0	0.98	0.005037783375314861	2
1	13/14	13	0.9285714285714286	0.9	0.0327455919395466	14
2	19/23	19	0.8260869565217391	0.8	0.04785894206549118	23
3	34/39	34	0.8717948717948718	0.7	0.08564231738035265	39
4	47/55	47	0.8545454545454545	0.6	0.11838790931989925	55
5	63/81	63	0.7777777777777778	0.5	0.15869017632241814	81
6	75/100	75	0.75	0.4	0.1889168765743073	100
7	89/129	89	0.689922480620155	0.3	0.22418136020151133	129
8	108/178	108	0.6067415730337079	0.2	0.27204030226700254	178
9	136/253	136	0.5375494071146245	0.1	0.3425692695214106	253
10	157/344	157	0.4563953488372093	0.05	0.3954659949622166	344
11	221/769	221	0.28738621586475943	0.01	0.5566750629722922	769
12	254/1170	254	0.2170940170940171	0.005	0.6397984886649875	1170
13	305/3721	305	0.08196721311475409	0.001	0.7682619647355163	3721
14	397/44281	397	0.008965470517829317	0.0	1.0	44281
