	frac_text	positives	precision	prob	recall	total
0	7/7	7	1.0	0.9	0.017632241813602016	7
1	13/14	13	0.9285714285714286	0.8	0.0327455919395466	14
2	28/30	28	0.9333333333333333	0.7	0.07052896725440806	30
3	36/42	36	0.8571428571428571	0.6	0.0906801007556675	42
4	47/55	47	0.8545454545454545	0.5	0.11838790931989925	55
5	54/66	54	0.8181818181818182	0.4	0.13602015113350127	66
6	69/89	69	0.7752808988764045	0.3	0.17380352644836272	89
7	88/128	88	0.6875	0.2	0.2216624685138539	128
8	117/200	117	0.585	0.1	0.2947103274559194	200
9	141/292	141	0.4828767123287671	0.05	0.35516372795969775	292
10	202/652	202	0.3098159509202454	0.01	0.5088161209068011	652
11	237/988	237	0.23987854251012145	0.005	0.5969773299748111	988
12	290/3049	290	0.09511315185306658	0.001	0.7304785894206549	3049
13	397/44281	397	0.008965470517829317	0.0	1.0	44281
