	frac_text	positives	precision	prob	recall	total
0	15/16	15	0.9375	0.9	0.037783375314861464	16
1	22/25	22	0.88	0.8	0.055415617128463476	25
2	25/29	25	0.8620689655172413	0.7	0.06297229219143577	29
3	39/46	39	0.8478260869565217	0.6	0.0982367758186398	46
4	48/57	48	0.8421052631578947	0.5	0.12090680100755667	57
5	53/68	53	0.7794117647058824	0.4	0.13350125944584382	68
6	68/91	68	0.7472527472527473	0.3	0.1712846347607053	91
7	84/116	84	0.7241379310344828	0.2	0.21158690176322417	116
8	102/156	102	0.6538461538461539	0.1	0.25692695214105793	156
9	119/202	119	0.5891089108910891	0.05	0.29974811083123426	202
10	162/415	162	0.39036144578313253	0.01	0.4080604534005038	415
11	188/596	188	0.31543624161073824	0.005	0.473551637279597	596
12	251/1633	251	0.15370483772198407	0.001	0.6322418136020151	1633
13	397/44281	397	0.008965470517829317	0.0	1.0	44281
