	domain	domain_len	domain_precison	domain_recall	fold_imp	pos_frac	pos_num	prob
0	HMG_box	51	1.0	0.08	1.04	0.49019607843137253	2	0.98
1	HLH	49	1.0	0.15789473684210525	1.5789473684210527	0.3877551020408163	3	0.9
2	zf-C4	56	1.0	0.10526315789473684	1.9473684210526316	0.3392857142857143	2	0.9
3	Homeobox	9	1.0	0.125	0.125	0.8888888888888888	1	0.9
4	RRM_1	48	1.0	0.14285714285714285	5.857142857142857	0.14583333333333334	1	0.9
5	HMG_box	51	0.8571428571428571	0.24	0.8914285714285713	0.49019607843137253	7	0.9
6	HLH	49	1.0	0.21052631578947367	1.5789473684210527	0.3877551020408163	4	0.8
7	zf-C4	56	1.0	0.15789473684210525	1.9473684210526316	0.3392857142857143	3	0.8
8	Homeobox	9	1.0	0.25	0.125	0.8888888888888888	2	0.8
9	bZIP_1	63	1.0	0.14285714285714285	3.5	0.2222222222222222	2	0.8
10	RRM_1	48	1.0	0.14285714285714285	5.857142857142857	0.14583333333333334	1	0.8
11	HMG_box	51	0.875	0.28	0.91	0.49019607843137253	8	0.8
12	HLH	49	1.0	0.3684210526315789	1.5789473684210527	0.3877551020408163	7	0.7
13	zf-C4	56	1.0	0.3157894736842105	1.9473684210526316	0.3392857142857143	6	0.7
14	Homeobox	9	1.0	0.375	0.125	0.8888888888888888	3	0.7
15	bZIP_1	63	0.875	0.5	3.0625	0.2222222222222222	8	0.7
16	Ets	81	1.0	0.08	2.2399999999999998	0.30864197530864196	2	0.7
17	RRM_1	48	1.0	0.14285714285714285	5.857142857142857	0.14583333333333334	1	0.7
18	HMG_box	51	0.875	0.28	0.91	0.49019607843137253	8	0.7
19	zf-H2C2_2	13	1.0	0.1	0.3	0.7692307692307693	1	0.7
20	HLH	49	1.0	0.5789473684210527	1.5789473684210527	0.3877551020408163	11	0.6
21	zf-C4	56	1.0	0.3684210526315789	1.9473684210526316	0.3392857142857143	7	0.6
22	Homeobox	9	1.0	0.375	0.125	0.8888888888888888	3	0.6
23	bZIP_1	63	0.8181818181818182	0.6428571428571429	2.8636363636363638	0.2222222222222222	11	0.6
24	Ets	81	1.0	0.16	2.2399999999999998	0.30864197530864196	4	0.6
25	RRM_1	48	1.0	0.14285714285714285	5.857142857142857	0.14583333333333334	1	0.6
26	HMG_box	51	0.7692307692307693	0.4	0.8	0.49019607843137253	13	0.6
27	zf-H2C2_2	13	1.0	0.2	0.3	0.7692307692307693	2	0.6
28	HLH	49	1.0	0.6842105263157895	1.5789473684210527	0.3877551020408163	13	0.5
29	zf-C4	56	0.8888888888888888	0.42105263157894735	1.7309941520467835	0.3392857142857143	9	0.5
30	Homeobox	9	1.0	0.375	0.125	0.8888888888888888	3	0.5
31	bZIP_1	63	0.7857142857142857	0.7857142857142857	2.75	0.2222222222222222	14	0.5
32	Ets	81	0.8	0.32	1.792	0.30864197530864196	10	0.5
33	RRM_1	48	1.0	0.14285714285714285	5.857142857142857	0.14583333333333334	1	0.5
34	zf-C2H2_4	13	1.0	0.09090909090909091	0.18181818181818182	0.8461538461538461	1	0.5
35	HMG_box	51	0.75	0.48	0.78	0.49019607843137253	16	0.5
36	zf-H2C2_2	13	1.0	0.3	0.3	0.7692307692307693	3	0.5
37	Pou	69	0.6	0.16666666666666666	1.6999999999999997	0.2608695652173913	5	0.5
38	MH1	91	0.0	0.0	0.0	0.14285714285714285	1	0.4
39	HLH	49	1.0	0.7894736842105263	1.5789473684210527	0.3877551020408163	15	0.4
40	zf-C4	56	0.8888888888888888	0.42105263157894735	1.7309941520467835	0.3392857142857143	9	0.4
41	KH_1	48	0.0	0.0	0.0	0.14583333333333334	1	0.4
42	Homeobox	9	1.0	0.75	0.125	0.8888888888888888	6	0.4
43	bZIP_1	63	0.75	0.8571428571428571	2.625	0.2222222222222222	16	0.4
44	Ets	81	0.8461538461538461	0.44	1.8953846153846152	0.30864197530864196	13	0.4
