	domain	domain_len	domain_precison	fold_imp	pos_frac	pos_num	prob
0	HLH	49	1.0	1.5789473684210527	0.3877551020408163	3	0.9
1	zf-C4	56	0.875	1.7039473684210527	0.3392857142857143	8	0.9
2	Homeobox	9	1.0	0.125	0.8888888888888888	3	0.9
3	bZIP_1	63	1.0	3.5	0.2222222222222222	1	0.9
4	zf-H2C2_2	13	1.0	0.3	0.7692307692307693	1	0.9
5	MH1	91	0.0	0.0	0.14285714285714285	1	0.8
6	HLH	49	1.0	1.5789473684210527	0.3877551020408163	5	0.8
7	zf-C4	56	0.875	1.7039473684210527	0.3392857142857143	8	0.8
8	Homeobox	9	1.0	0.125	0.8888888888888888	3	0.8
9	bZIP_1	63	0.8	2.8000000000000003	0.2222222222222222	5	0.8
10	Ets	81	1.0	2.2399999999999998	0.30864197530864196	1	0.8
11	zf-H2C2_2	13	1.0	0.3	0.7692307692307693	2	0.8
12	MH1	91	0.0	0.0	0.14285714285714285	1	0.7
13	HLH	49	1.0	1.5789473684210527	0.3877551020408163	6	0.7
14	zf-C4	56	0.8888888888888888	1.7309941520467835	0.3392857142857143	9	0.7
15	Homeobox	9	1.0	0.125	0.8888888888888888	3	0.7
16	bZIP_1	63	0.8333333333333334	2.916666666666667	0.2222222222222222	6	0.7
17	Ets	81	1.0	2.2399999999999998	0.30864197530864196	1	0.7
18	zf-H2C2_2	13	1.0	0.3	0.7692307692307693	2	0.7
19	MH1	91	0.0	0.0	0.14285714285714285	2	0.6
20	HLH	49	1.0	1.5789473684210527	0.3877551020408163	10	0.6
21	zf-C4	56	0.9166666666666666	1.7850877192982457	0.3392857142857143	12	0.6
22	Homeobox	9	1.0	0.125	0.8888888888888888	5	0.6
23	bZIP_1	63	0.7777777777777778	2.7222222222222223	0.2222222222222222	9	0.6
24	Ets	81	1.0	2.2399999999999998	0.30864197530864196	2	0.6
25	zf-H2C2_2	13	1.0	0.3	0.7692307692307693	3	0.6
26	Pou	69	1.0	2.833333333333333	0.2608695652173913	1	0.6
27	MH1	91	0.0	0.0	0.14285714285714285	2	0.5
28	HLH	49	1.0	1.5789473684210527	0.3877551020408163	12	0.5
29	zf-C4	56	0.9166666666666666	1.7850877192982457	0.3392857142857143	12	0.5
30	KH_1	48	0.0	0.0	0.14583333333333334	1	0.5
31	Homeobox	9	1.0	0.125	0.8888888888888888	6	0.5
32	bZIP_1	63	0.8333333333333334	2.916666666666667	0.2222222222222222	12	0.5
33	Ets	81	1.0	2.2399999999999998	0.30864197530864196	3	0.5
34	zf-H2C2_2	13	1.0	0.3	0.7692307692307693	5	0.5
