	frac_text	positives	precision	prob	recall	total
0	23/25	23	0.92	0.9	0.06552706552706553	25
1	52/62	52	0.8387096774193549	0.8	0.14814814814814814	62
2	82/101	82	0.8118811881188119	0.7	0.2336182336182336	101
3	100/141	100	0.7092198581560284	0.6	0.2849002849002849	141
4	131/200	131	0.655	0.5	0.3732193732193732	200
5	147/269	147	0.5464684014869888	0.4	0.4188034188034188	269
6	171/369	171	0.4634146341463415	0.3	0.48717948717948717	369
7	200/565	200	0.35398230088495575	0.2	0.5698005698005698	565
8	235/1068	235	0.2200374531835206	0.1	0.6695156695156695	1068
9	267/2479	267	0.10770471964501815	0.05	0.7606837606837606	2479
10	331/20252	331	0.016344064783725066	0.01	0.9430199430199431	20252
11	344/29358	344	0.011717419442741331	0.005	0.98005698005698	29358
12	348/37986	348	0.009161269941557415	0.001	0.9914529914529915	37986
13	351/39981	351	0.008779170105800255	0.0	1.0	39981
