	frac_text	positives	precision	prob	recall	total
0	9/9	9	1.0	0.99	0.02564102564102564	9
1	53/54	53	0.9814814814814815	0.9	0.150997150997151	54
2	73/76	73	0.9605263157894737	0.8	0.20797720797720798	76
3	93/101	93	0.9207920792079208	0.7	0.26495726495726496	101
4	99/109	99	0.908256880733945	0.6	0.28205128205128205	109
5	112/130	112	0.8615384615384616	0.5	0.3190883190883191	130
6	125/153	125	0.8169934640522876	0.4	0.3561253561253561	153
7	134/176	134	0.7613636363636364	0.3	0.3817663817663818	176
8	153/206	153	0.7427184466019418	0.2	0.4358974358974359	206
9	182/281	182	0.6476868327402135	0.1	0.5185185185185185	281
10	197/380	197	0.5184210526315789	0.05	0.5612535612535613	380
11	236/1007	236	0.23435948361469713	0.01	0.6723646723646723	1007
12	252/1717	252	0.14676761793826443	0.005	0.717948717948718	1717
13	297/8453	297	0.03513545486809417	0.001	0.8461538461538461	8453
14	351/39981	351	0.008779170105800255	0.0	1.0	39981
