	frac_text	positives	precision	prob	recall	total
0	77/83	77	0.927710843373494	0.9	0.21937321937321938	83
1	91/99	91	0.9191919191919192	0.8	0.25925925925925924	99
2	103/119	103	0.865546218487395	0.7	0.2934472934472934	119
3	114/140	114	0.8142857142857143	0.6	0.3247863247863248	140
4	120/155	120	0.7741935483870968	0.5	0.3418803418803419	155
5	128/165	128	0.7757575757575758	0.4	0.3646723646723647	165
6	133/173	133	0.7687861271676301	0.3	0.3789173789173789	173
7	139/193	139	0.7202072538860104	0.2	0.396011396011396	193
8	154/230	154	0.6695652173913044	0.1	0.43874643874643876	230
9	169/286	169	0.5909090909090909	0.05	0.48148148148148145	286
10	205/542	205	0.37822878228782286	0.01	0.584045584045584	542
11	224/762	224	0.29396325459317585	0.005	0.6381766381766382	762
12	258/2126	258	0.1213546566321731	0.001	0.7350427350427351	2126
13	351/39981	351	0.008779170105800255	0.0	1.0	39981
