	domain	domain_len	domain_precison	domain_recall	fold_imp	pos_frac	pos_num	prob
0	LIM	35	1.0	0.3	2.5	0.2857142857142857	3	0.99
1	PHD_2	31	1.0	0.09090909090909091	1.8181818181818181	0.3548387096774194	1	0.99
2	GATA	35	1.0	0.3333333333333333	2.888888888888889	0.2571428571428571	3	0.99
3	C1_1	42	1.0	0.25	4.25	0.19047619047619047	2	0.99
4	ZZ	44	1.0	0.4444444444444444	3.8888888888888893	0.20454545454545456	4	0.9
5	zf-CXXC	41	1.0	0.375	4.125	0.1951219512195122	3	0.9
6	zf-CCHC	11	1.0	0.8	1.2	0.45454545454545453	4	0.9
7	zf-AN1	40	1.0	0.875	4.0	0.2	7	0.9
8	LIM	35	1.0	0.7	2.5	0.2857142857142857	7	0.9
9	PHD_2	31	1.0	0.36363636363636365	1.8181818181818181	0.3548387096774194	4	0.9
10	TSP_3	29	1.0	0.6666666666666666	2.2222222222222223	0.3103448275862069	6	0.9
11	GATA	35	1.0	0.4444444444444444	2.888888888888889	0.2571428571428571	4	0.9
12	C1_1	42	1.0	0.625	4.25	0.19047619047619047	5	0.9
13	zf-C2H2_4	13	1.0	0.25	2.25	0.3076923076923077	1	0.9
14	TFIIS_C	25	1.0	0.5	5.25	0.16	2	0.9
15	zf-H2C2_5	21	1.0	0.5	4.25	0.19047619047619047	2	0.9
16	zf-A20	24	1.0	0.2	3.8000000000000003	0.20833333333333334	1	0.9
17	zf-CCCH	18	1.0	0.75	3.5	0.2222222222222222	3	0.9
18	ZZ	44	1.0	0.4444444444444444	3.8888888888888893	0.20454545454545456	4	0.8
19	zf-CXXC	41	1.0	0.875	4.125	0.1951219512195122	7	0.8
20	zf-CCHC	11	1.0	0.8	1.2	0.45454545454545453	4	0.8
21	zf-AN1	40	1.0	1.0	4.0	0.2	8	0.8
22	LIM	35	1.0	0.7	2.5	0.2857142857142857	7	0.8
23	PHD_2	31	1.0	0.36363636363636365	1.8181818181818181	0.3548387096774194	4	0.8
24	TSP_3	29	1.0	0.7777777777777778	2.2222222222222223	0.3103448275862069	7	0.8
25	GATA	35	1.0	0.4444444444444444	2.888888888888889	0.2571428571428571	4	0.8
26	C1_1	42	1.0	0.625	4.25	0.19047619047619047	5	0.8
27	zf-B_box	40	1.0	0.125	4.0	0.2	1	0.8
28	zf-MYND	38	1.0	0.25	3.75	0.21052631578947367	2	0.8
29	zf-C2H2_4	13	1.0	0.25	2.25	0.3076923076923077	1	0.8
30	TFIIS_C	25	1.0	0.75	5.25	0.16	3	0.8
31	zf-H2C2_5	21	1.0	1.0	4.25	0.19047619047619047	4	0.8
32	zf-H2C2_2	13	1.0	0.25	2.25	0.3076923076923077	1	0.8
33	FYVE	64	1.0	0.25	7.0	0.125	2	0.8
34	zf-A20	24	1.0	0.6	3.8000000000000003	0.20833333333333334	3	0.8
35	zf-UBP	51	1.0	0.1	4.1000000000000005	0.19607843137254902	1	0.8
36	Prok-RING_4	16	1.0	0.125	1.0	0.5	1	0.8
37	zf-CCCH	18	1.0	1.0	3.5	0.2222222222222222	4	0.8
38	ZZ	44	1.0	0.4444444444444444	3.8888888888888893	0.20454545454545456	4	0.7
39	Ldl_recept_a	13	0.0	0.0	0.0	0.15384615384615385	1	0.7
40	zf-CXXC	41	1.0	1.0	4.125	0.1951219512195122	8	0.7
41	zf-CCHC	11	1.0	0.8	1.2	0.45454545454545453	4	0.7
42	zf-AN1	40	1.0	1.0	4.0	0.2	8	0.7
43	LIM	35	1.0	0.7	2.5	0.2857142857142857	7	0.7
44	PHD_2	31	1.0	0.45454545454545453	1.8181818181818181	0.3548387096774194	5	0.7
45	TSP_3	29	0.875	0.7777777777777778	1.9444444444444444	0.3103448275862069	8	0.7
46	GATA	35	1.0	0.4444444444444444	2.888888888888889	0.2571428571428571	4	0.7
47	C1_1	42	1.0	0.75	4.25	0.19047619047619047	6	0.7
48	zf-B_box	40	1.0	0.25	4.0	0.2	2	0.7
49	zf-MYND	38	1.0	0.625	3.75	0.21052631578947367	5	0.7
50	zf-C2H2_4	13	1.0	0.75	2.25	0.3076923076923077	3	0.7
