	frac_text	positives	precision	prob	recall	total
0	5/5	5	1.0	0.5	0.011467889908256881	5
1	20/29	20	0.6896551724137931	0.4	0.045871559633027525	29
2	39/108	39	0.3611111111111111	0.3	0.08944954128440367	108
3	87/515	87	0.16893203883495145	0.2	0.19954128440366972	515
4	179/3595	179	0.0497913769123783	0.1	0.4105504587155963	3595
5	295/11683	295	0.02525036377642729	0.05	0.676605504587156	11683
6	426/35062	426	0.01214990588101078	0.01	0.9770642201834863	35062
7	432/39158	432	0.01103222840798815	0.005	0.9908256880733946	39158
8	436/41283	436	0.010561247971319914	0.001	1.0	41283
9	436/41541	436	0.010495654895163815	0.0	1.0	41541
