	frac_text	positives	precision	prob	recall	total
0	0/1	0	0.0	0.7	0.0	1
1	3/4	3	0.75	0.6	0.006880733944954129	4
2	9/11	9	0.8181818181818182	0.5	0.020642201834862386	11
3	16/20	16	0.8	0.4	0.03669724770642202	20
4	19/31	19	0.6129032258064516	0.3	0.04357798165137615	31
5	28/53	28	0.5283018867924528	0.2	0.06422018348623854	53
6	38/102	38	0.37254901960784315	0.1	0.0871559633027523	102
7	47/222	47	0.21171171171171171	0.05	0.10779816513761468	222
8	102/1535	102	0.06644951140065146	0.01	0.23394495412844038	1535
9	157/3321	157	0.04727491719361638	0.005	0.36009174311926606	3321
10	311/14098	311	0.022059866647751454	0.001	0.713302752293578	14098
11	436/41541	436	0.010495654895163815	0.0	1.0	41541
