	frac_text	positives	precision	prob	recall	total
0	2/4	2	0.5	0.5	0.0045871559633027525	4
1	3/6	3	0.5	0.4	0.006880733944954129	6
2	15/24	15	0.625	0.3	0.034403669724770644	24
3	21/39	21	0.5384615384615384	0.2	0.0481651376146789	39
4	36/89	36	0.4044943820224719	0.1	0.08256880733944955	89
5	57/276	57	0.20652173913043478	0.05	0.13073394495412843	276
6	131/4055	131	0.032305795314426636	0.01	0.30045871559633025	4055
7	191/9144	191	0.02088801399825022	0.005	0.4380733944954128	9144
8	320/16082	320	0.019898022634000746	0.001	0.7339449541284404	16082
9	436/41541	436	0.010495654895163815	0.0	1.0	41541
