	frac_text	positives	precision	prob	recall	total
0	6/6	6	1.0	0.8	0.013761467889908258	6
1	10/11	10	0.9090909090909091	0.7	0.022935779816513763	11
2	13/15	13	0.8666666666666667	0.6	0.02981651376146789	15
3	17/20	17	0.85	0.5	0.0389908256880734	20
4	18/24	18	0.75	0.4	0.04128440366972477	24
5	21/32	21	0.65625	0.3	0.0481651376146789	32
6	23/41	23	0.5609756097560976	0.2	0.052752293577981654	41
7	36/111	36	0.32432432432432434	0.1	0.08256880733944955	111
8	51/262	51	0.1946564885496183	0.05	0.11697247706422019	262
9	116/1979	116	0.05861546235472461	0.01	0.26605504587155965	1979
10	176/4290	176	0.041025641025641026	0.005	0.4036697247706422	4290
11	315/15553	315	0.020253327332347457	0.001	0.7224770642201835	15553
12	436/41541	436	0.010495654895163815	0.0	1.0	41541
