	frac_text	positives	precision	prob	recall	total
0	0/1	0	0.0	0.7	0.0	1
1	1/5	1	0.2	0.6	0.0022935779816513763	5
2	3/10	3	0.3	0.5	0.006880733944954129	10
3	4/11	4	0.36363636363636365	0.4	0.009174311926605505	11
4	8/19	8	0.42105263157894735	0.3	0.01834862385321101	19
5	13/29	13	0.4482758620689655	0.2	0.02981651376146789	29
6	25/58	25	0.43103448275862066	0.1	0.05733944954128441	58
7	39/101	39	0.38613861386138615	0.05	0.08944954128440367	101
8	78/481	78	0.16216216216216217	0.01	0.17889908256880735	481
9	113/991	113	0.11402623612512613	0.005	0.2591743119266055	991
10	216/4730	216	0.04566596194503171	0.001	0.4954128440366973	4730
11	436/41541	436	0.010495654895163815	0.0	1.0	41541
