	domain	domain_len	domain_precison	domain_recall	fold_imp	pos_frac	pos_num	prob
0	Kelch_1	42	1.0	0.3333333333333333	13.0	0.07142857142857142	1	0.6
1	SH3_9	23	1.0	0.07692307692307693	0.7692307692307692	0.5652173913043478	1	0.6
2	PDZ	16	1.0	0.2	2.2	0.3125	1	0.6
3	SH3_1	19	1.0	0.25	1.375	0.42105263157894735	2	0.5
4	Kelch_1	42	1.0	0.3333333333333333	13.0	0.07142857142857142	1	0.5
5	SH3_9	23	1.0	0.23076923076923078	0.7692307692307692	0.5652173913043478	3	0.5
6	Arm	9	1.0	0.5	1.25	0.4444444444444444	2	0.5
7	PDZ	16	1.0	0.2	2.2	0.3125	1	0.5
8	SH3_1	19	1.0	0.375	1.375	0.42105263157894735	3	0.4
9	Kelch_1	42	1.0	0.3333333333333333	13.0	0.07142857142857142	1	0.4
10	SH3_9	23	1.0	0.46153846153846156	0.7692307692307692	0.5652173913043478	6	0.4
11	Arm	9	1.0	1.0	1.25	0.4444444444444444	4	0.4
12	Chromo	32	1.0	0.14285714285714285	3.571428571428571	0.21875	1	0.4
13	PDZ	16	1.0	0.2	2.2	0.3125	1	0.4
14	SH3_1	19	1.0	0.5	1.375	0.42105263157894735	4	0.3
15	Kelch_1	42	1.0	0.3333333333333333	13.0	0.07142857142857142	1	0.3
16	SH3_9	23	1.0	0.46153846153846156	0.7692307692307692	0.5652173913043478	6	0.3
17	Arm	9	1.0	1.0	1.25	0.4444444444444444	4	0.3
18	Chromo	32	1.0	0.14285714285714285	3.571428571428571	0.21875	1	0.3
19	PDZ	16	1.0	0.6	2.2	0.3125	3	0.3
20	SH3_1	19	1.0	0.875	1.375	0.42105263157894735	7	0.2
21	Kelch_1	42	0.6666666666666666	0.6666666666666666	8.666666666666666	0.07142857142857142	3	0.2
22	SH3_9	23	1.0	0.6153846153846154	0.7692307692307692	0.5652173913043478	8	0.2
23	Arm	9	1.0	1.0	1.25	0.4444444444444444	4	0.2
24	Chromo	32	1.0	0.14285714285714285	3.571428571428571	0.21875	1	0.2
25	MHC_II_alpha	54	1.0	0.13333333333333333	2.5999999999999996	0.2777777777777778	2	0.2
26	PDZ	16	1.0	0.8	2.2	0.3125	4	0.2
27	MHC_II_beta	61	1.0	0.05555555555555555	2.388888888888889	0.29508196721311475	1	0.1
28	Pkinase	60	1.0	0.4	11.0	0.08333333333333333	2	0.1
29	SH3_1	19	1.0	1.0	1.375	0.42105263157894735	8	0.1
30	Kelch_1	42	0.5	1.0	6.5	0.07142857142857142	6	0.1
31	HEAT	8	1.0	0.25	1.0	0.5	1	0.1
32	SH3_9	23	1.0	0.6923076923076923	0.7692307692307692	0.5652173913043478	9	0.1
33	Arm	9	1.0	1.0	1.25	0.4444444444444444	4	0.1
34	Helicase_C	97	0.0	0.0	0.0	0.05154639175257732	2	0.1
35	Chromo	32	0.5	0.2857142857142857	1.7857142857142856	0.21875	4	0.1
36	MHC_II_alpha	54	0.6666666666666666	0.26666666666666666	1.7333333333333332	0.2777777777777778	6	0.1
37	PDZ	16	0.8	0.8	1.7600000000000002	0.3125	5	0.1
38	MHC_II_beta	61	1.0	0.2222222222222222	2.388888888888889	0.29508196721311475	4	0.05
39	Pkinase	60	1.0	0.6	11.0	0.08333333333333333	3	0.05
40	SH3_1	19	1.0	1.0	1.375	0.42105263157894735	8	0.05
41	Kelch_1	42	0.5	1.0	6.5	0.07142857142857142	6	0.05
42	HEAT	8	1.0	0.25	1.0	0.5	1	0.05
43	RRM_1	28	0.0	0.0	0.0	0.07142857142857142	3	0.05
44	SH3_9	23	1.0	0.8461538461538461	0.7692307692307692	0.5652173913043478	11	0.05
45	Acetyltransf_1	83	0.0	0.0	0.0	0.04819277108433735	3	0.05
46	Arm	9	1.0	1.0	1.25	0.4444444444444444	4	0.05
47	Helicase_C	97	0.0	0.0	0.0	0.05154639175257732	13	0.05
48	Cyclin_N	104	0.0	0.0	0.0	0.009615384615384616	1	0.05
49	Peptidase_M10	137	1.0	0.3333333333333333	21.833333333333332	0.043795620437956206	2	0.05
50	Chromo	32	0.2857142857142857	0.2857142857142857	1.020408163265306	0.21875	7	0.05
51	MHC_II_alpha	54	0.45454545454545453	0.3333333333333333	1.1818181818181817	0.2777777777777778	11	0.05
52	PDZ	16	0.4444444444444444	0.8	0.9777777777777777	0.3125	9	0.05
53	ANAPC3	32	0.0	0.0	0.0	0.03125	4	0.05
54	BTB	105	0.0	0.0	0.0	0.047619047619047616	1	0.01
55	MHC_I	111	0.6666666666666666	0.10810810810810811	1.3333333333333333	0.3333333333333333	6	0.01
56	Asp	184	1.0	0.16666666666666666	29.666666666666668	0.03260869565217391	1	0.01
57	FERM_M	115	0.0	0.0	0.0	0.0782608695652174	4	0.01
58	MHC_II_beta	61	0.4	0.4444444444444444	0.9555555555555556	0.29508196721311475	20	0.01
59	UQ_con	129	0.0	0.0	0.0	0.05426356589147287	5	0.01
60	Bromodomain	48	0.2	0.25	2.2	0.08333333333333333	5	0.01
61	Transglut_core	93	0.6666666666666666	0.6666666666666666	20.0	0.03225806451612903	3	0.01
62	Rad60-SLD	42	1.0	1.0	20.0	0.047619047619047616	2	0.01
63	Pro_isomerase	120	1.0	0.1	11.0	0.08333333333333333	1	0.01
64	CAP_GLY	60	0.0	0.0	0.0	0.26666666666666666	1	0.01
65	Pkinase	60	0.18518518518518517	1.0	2.0370370370370368	0.08333333333333333	27	0.01
66	2OG-FeII_Oxy_3	80	0.0	0.0	0.0	0.0875	1	0.01
