	domain	domain_len	domain_precison	domain_recall	fold_imp	pos_frac	pos_num	prob
0	SH3_1	19	1.0	0.125	1.375	0.42105263157894735	1	0.6
1	SH3_1	19	1.0	0.25	1.375	0.42105263157894735	2	0.5
2	Kelch_1	42	1.0	0.3333333333333333	13.0	0.07142857142857142	1	0.5
3	SH3_1	19	1.0	0.25	1.375	0.42105263157894735	2	0.4
4	Kelch_1	42	1.0	0.3333333333333333	13.0	0.07142857142857142	1	0.4
5	SH3_9	23	1.0	0.07692307692307693	0.7692307692307692	0.5652173913043478	1	0.4
6	SH3_1	19	1.0	0.625	1.375	0.42105263157894735	5	0.3
7	Kelch_1	42	1.0	0.3333333333333333	13.0	0.07142857142857142	1	0.3
8	SH3_9	23	1.0	0.15384615384615385	0.7692307692307692	0.5652173913043478	2	0.3
9	MHC_II_beta	61	1.0	0.05555555555555555	2.388888888888889	0.29508196721311475	1	0.2
10	SH3_1	19	1.0	0.75	1.375	0.42105263157894735	6	0.2
11	Kelch_1	42	0.75	1.0	9.75	0.07142857142857142	4	0.2
12	SH3_9	23	1.0	0.23076923076923078	0.7692307692307692	0.5652173913043478	3	0.2
13	MHC_II_beta	61	1.0	0.2222222222222222	2.388888888888889	0.29508196721311475	4	0.1
14	SH3_1	19	1.0	1.0	1.375	0.42105263157894735	8	0.1
15	Kelch_1	42	0.6	1.0	7.799999999999999	0.07142857142857142	5	0.1
16	SH3_9	23	1.0	0.46153846153846156	0.7692307692307692	0.5652173913043478	6	0.1
17	Arm	9	1.0	0.5	1.25	0.4444444444444444	2	0.1
18	Helicase_C	97	0.0	0.0	0.0	0.05154639175257732	1	0.1
19	MHC_II_alpha	54	1.0	0.06666666666666667	2.5999999999999996	0.2777777777777778	1	0.1
20	PDZ	16	1.0	0.2	2.2	0.3125	1	0.1
21	MHC_II_beta	61	0.7272727272727273	0.4444444444444444	1.7373737373737372	0.29508196721311475	11	0.05
22	SH3_1	19	1.0	1.0	1.375	0.42105263157894735	8	0.05
23	Kelch_1	42	0.5	1.0	6.5	0.07142857142857142	6	0.05
24	Ank_5	37	1.0	0.2	6.4	0.13513513513513514	1	0.05
25	HEAT	8	1.0	0.25	1.0	0.5	1	0.05
26	RRM_1	28	0.0	0.0	0.0	0.07142857142857142	1	0.05
27	SH3_9	23	1.0	0.6923076923076923	0.7692307692307692	0.5652173913043478	9	0.05
28	Arm	9	1.0	0.75	1.25	0.4444444444444444	3	0.05
29	Helicase_C	97	0.0	0.0	0.0	0.05154639175257732	1	0.05
30	Chromo	32	1.0	0.14285714285714285	3.571428571428571	0.21875	1	0.05
31	MHC_II_alpha	54	1.0	0.2	2.5999999999999996	0.2777777777777778	3	0.05
32	PDZ	16	1.0	0.4	2.2	0.3125	2	0.05
33	BTB	105	0.0	0.0	0.0	0.047619047619047616	2	0.01
34	MHC_I	111	0.5555555555555556	0.13513513513513514	1.1111111111111112	0.3333333333333333	9	0.01
35	FERM_M	115	0.0	0.0	0.0	0.0782608695652174	6	0.01
36	MHC_II_beta	61	0.4666666666666667	0.7777777777777778	1.1148148148148147	0.29508196721311475	30	0.01
37	SH2	36	1.0	0.18181818181818182	2.272727272727273	0.3055555555555556	2	0.01
38	HRM	35	1.0	0.5	16.5	0.05714285714285714	1	0.01
39	Rad60-SLD	42	1.0	0.5	20.0	0.047619047619047616	1	0.01
40	Pro_isomerase	120	1.0	0.1	11.0	0.08333333333333333	1	0.01
41	Pkinase	60	1.0	0.4	11.0	0.08333333333333333	2	0.01
42	SH3_1	19	1.0	1.0	1.375	0.42105263157894735	8	0.01
43	HEAT_EZ	20	1.0	0.25	1.5	0.4	2	0.01
44	JmjC	74	0.0	0.0	0.0	0.06756756756756757	1	0.01
45	WH1	93	1.0	0.2	17.6	0.053763440860215055	1	0.01
46	Y_phosphatase	179	0.08333333333333333	0.1	1.4083333333333334	0.055865921787709494	12	0.01
47	SPRY	105	0.0	0.0	0.0	0.02857142857142857	1	0.01
48	Hormone_recep	109	0.0	0.0	0.0	0.009174311926605505	1	0.01
49	Kelch_1	42	0.15	1.0	1.9499999999999997	0.07142857142857142	20	0.01
50	Ank_5	37	0.42857142857142855	0.6	2.742857142857143	0.13513513513513514	7	0.01
51	HEAT	8	0.5	0.25	0.5	0.5	2	0.01
52	RRM_1	28	0.0	0.0	0.0	0.07142857142857142	7	0.01
53	Hist_deacetyl	278	0.0	0.0	0.0	0.050359712230215826	2	0.01
54	Phospholip_A2_1	93	0.0	0.0	0.0	0.0967741935483871	1	0.01
55	PTCB-BRCT	40	0.0	0.0	0.0	0.025	1	0.01
56	Peptidase_C1	197	0.0	0.0	0.0	0.030456852791878174	1	0.01
57	WW	23	0.5	0.18181818181818182	0.5454545454545455	0.4782608695652174	4	0.01
58	Fibrinogen_C	219	0.0	0.0	0.0	0.0547945205479452	1	0.01
59	PWWP	73	0.42857142857142855	0.6	5.828571428571428	0.0684931506849315	7	0.01
60	SH3_9	23	1.0	0.9230769230769231	0.7692307692307692	0.5652173913043478	12	0.01
61	Arm	9	1.0	1.0	1.25	0.4444444444444444	4	0.01
62	Helicase_C	97	0.0	0.0	0.0	0.05154639175257732	7	0.01
63	Cyclin_N	104	0.0	0.0	0.0	0.009615384615384616	1	0.01
64	Chromo	32	0.5	0.14285714285714285	1.7857142857142856	0.21875	2	0.01
65	MHC_II_alpha	54	0.6363636363636364	0.4666666666666667	1.6545454545454543	0.2777777777777778	11	0.01
66	PDZ	16	0.8	0.8	1.7600000000000002	0.3125	5	0.01
67	Neur_chan_LBD	165	0.0	0.0	0.0	0.01818181818181818	1	0.005
68	7TM_GPCR_Srsx	234	0.0	0.0	0.0	0.008547008547008548	1	0.005
69	BTB	105	0.0	0.0	0.0	0.047619047619047616	4	0.005
70	MHC_I	111	0.5384615384615384	0.3783783783783784	1.0769230769230769	0.3333333333333333	26	0.005
71	FERM_M	115	0.0	0.0	0.0	0.0782608695652174	10	0.005
72	MHC_II_beta	61	0.4166666666666667	0.8333333333333334	0.9953703703703703	0.29508196721311475	36	0.005
73	SH2	36	1.0	0.18181818181818182	2.272727272727273	0.3055555555555556	2	0.005
74	HRM	35	0.2	0.5	3.3000000000000003	0.05714285714285714	5	0.005
75	Bromodomain	48	0.3333333333333333	0.25	3.6666666666666665	0.08333333333333333	3	0.005
76	Rad60-SLD	42	1.0	1.0	20.0	0.047619047619047616	2	0.005
77	Pro_isomerase	120	1.0	0.3	11.0	0.08333333333333333	3	0.005
78	CAP_GLY	60	0.0	0.0	0.0	0.26666666666666666	1	0.005
79	Pkinase	60	0.6666666666666666	0.4	7.333333333333333	0.08333333333333333	3	0.005
80	SH3_1	19	1.0	1.0	1.375	0.42105263157894735	8	0.005
81	HEAT_EZ	20	1.0	0.25	1.5	0.4	2	0.005
82	JmjC	74	0.0	0.0	0.0	0.06756756756756757	1	0.005
83	WH1	93	0.25	0.2	4.4	0.053763440860215055	4	0.005
84	Y_phosphatase	179	0.13793103448275862	0.4	2.331034482758621	0.055865921787709494	29	0.005
85	BIR	66	0.0	0.0	0.0	0.13636363636363635	2	0.005
86	SPRY	105	0.0	0.0	0.0	0.02857142857142857	2	0.005
87	Hormone_recep	109	0.0	0.0	0.0	0.009174311926605505	4	0.005
88	Kelch_1	42	0.1	1.0	1.3	0.07142857142857142	30	0.005
89	Ank_5	37	0.3333333333333333	1.0	2.1333333333333333	0.13513513513513514	15	0.005
90	HEAT	8	0.6666666666666666	0.5	0.6666666666666666	0.5	3	0.005
91	RRM_1	28	0.07692307692307693	0.5	1.0	0.07142857142857142	13	0.005
92	Hist_deacetyl	278	0.2727272727272727	0.21428571428571427	5.142857142857142	0.050359712230215826	11	0.005
93	DUF1986	96	1.0	0.3333333333333333	31.0	0.03125	1	0.005
94	Phospholip_A2_1	93	0.0	0.0	0.0	0.0967741935483871	1	0.005
95	PTCB-BRCT	40	0.5	1.0	19.5	0.025	2	0.005
96	Peptidase_C1	197	0.0	0.0	0.0	0.030456852791878174	2	0.005
97	WW	23	0.6363636363636364	0.6363636363636364	0.6942148760330579	0.4782608695652174	11	0.005
98	Fibrinogen_C	219	0.0	0.0	0.0	0.0547945205479452	1	0.005
99	PWWP	73	0.3333333333333333	0.8	4.533333333333333	0.0684931506849315	12	0.005
100	SH3_9	23	0.8	0.9230769230769231	0.6153846153846154	0.5652173913043478	15	0.005
101	Arm	9	0.8	1.0	1.0	0.4444444444444444	5	0.005
102	Helicase_C	97	0.0	0.0	0.0	0.05154639175257732	13	0.005
103	Cyclin_N	104	0.0	0.0	0.0	0.009615384615384616	2	0.005
104	Chromo	32	0.25	0.14285714285714285	0.8928571428571428	0.21875	4	0.005
105	MHC_II_alpha	54	0.6666666666666666	0.6666666666666666	1.7333333333333332	0.2777777777777778	15	0.005
106	PDZ	16	0.8	0.8	1.7600000000000002	0.3125	5	0.005
107	ANAPC3	32	0.0	0.0	0.0	0.03125	1	0.005
108	Neur_chan_LBD	165	0.0	0.0	0.0	0.01818181818181818	3	0.001
109	7TM_GPCR_Srsx	234	0.0	0.0	0.0	0.008547008547008548	25	0.001
110	BTB	105	0.044444444444444446	0.4	0.8888888888888888	0.047619047619047616	45	0.001
111	MHC_I	111	0.44155844155844154	0.918918918918919	0.8831168831168831	0.3333333333333333	77	0.001
112	Asp	184	0.3333333333333333	0.16666666666666666	9.88888888888889	0.03260869565217391	3	0.001
113	FERM_M	115	0.030303030303030304	0.1111111111111111	0.35690235690235694	0.0782608695652174	33	0.001
114	MHC_II_beta	61	0.32727272727272727	1.0	0.7818181818181817	0.29508196721311475	55	0.001
115	SH2	36	0.5	0.7272727272727273	1.1363636363636365	0.3055555555555556	16	0.001
116	HRM	35	0.06666666666666667	0.5	1.0999999999999999	0.05714285714285714	15	0.001
117	UQ_con	129	0.0	0.0	0.0	0.05426356589147287	8	0.001
118	Bromodomain	48	0.2857142857142857	0.5	3.142857142857143	0.08333333333333333	7	0.001
119	Peptidase_M14	267	0.0	0.0	0.0	0.018726591760299626	1	0.001
120	Transglut_core	93	0.1111111111111111	0.3333333333333333	3.333333333333333	0.03225806451612903	9	0.001
121	Rad60-SLD	42	0.3333333333333333	1.0	6.666666666666666	0.047619047619047616	6	0.001
122	Pro_isomerase	120	0.2857142857142857	0.4	3.142857142857143	0.08333333333333333	14	0.001
123	CAP_GLY	60	0.5	0.1875	1.375	0.26666666666666666	6	0.001
124	Pkinase	60	0.2857142857142857	0.8	3.142857142857143	0.08333333333333333	14	0.001
125	2OG-FeII_Oxy_3	80	0.5	0.14285714285714285	5.214285714285714	0.0875	2	0.001
126	SH3_1	19	0.6153846153846154	1.0	0.8461538461538461	0.42105263157894735	13	0.001
127	HEAT_EZ	20	0.8	0.5	1.2000000000000002	0.4	5	0.001
128	Clathrin_propel	24	0.18181818181818182	1.0	2.0	0.08333333333333333	11	0.001
129	PHD_2	12	0.0	0.0	0.0	0.08333333333333333	3	0.001
130	Peptidase_C14	174	0.18181818181818182	0.18181818181818182	2.6942148760330578	0.06321839080459771	11	0.001
131	Lipocalin	113	0.0	0.0	0.0	0.04424778761061947	2	0.001
132	JmjC	74	0.10344827586206896	0.6	1.4275862068965517	0.06756756756756757	29	0.001
133	WH1	93	0.16129032258064516	1.0	2.838709677419355	0.053763440860215055	31	0.001
134	Y_phosphatase	179	0.08771929824561403	1.0	1.4824561403508771	0.055865921787709494	114	0.001
135	BIR	66	0.23076923076923078	0.3333333333333333	1.4615384615384617	0.13636363636363635	13	0.001
136	SPRY	105	0.07692307692307693	0.3333333333333333	2.6153846153846154	0.02857142857142857	13	0.001
137	Hormone_recep	109	0.0	0.0	0.0	0.009174311926605505	24	0.001
138	IRS	61	0.25	0.3333333333333333	4.833333333333333	0.04918032786885246	4	0.001
139	Kelch_1	42	0.07692307692307693	1.0	1.0	0.07142857142857142	39	0.001
140	TPR_10	35	0.4	0.8	2.4000000000000004	0.14285714285714285	10	0.001
141	ubiquitin	41	0.0	0.0	0.0	0.04878048780487805	6	0.001
142	MIT	28	0.0	0.0	0.0	0.17857142857142858	2	0.001
143	Filamin	81	0.0	0.0	0.0	0.024691358024691357	23	0.001
144	Ank_5	37	0.17857142857142858	1.0	1.1428571428571428	0.13513513513513514	28	0.001
145	PPTA	26	0.42857142857142855	0.75	2.3571428571428568	0.15384615384615385	7	0.001
146	HEAT	8	0.8	1.0	0.8	0.5	5	0.001
147	RRM_1	28	0.09090909090909091	1.0	1.1818181818181819	0.07142857142857142	22	0.001
148	FKBP_C	84	0.16666666666666666	0.6	2.633333333333333	0.05952380952380952	18	0.001
149	Hist_deacetyl	278	0.175	0.5	3.3	0.050359712230215826	40	0.001
150	DUF1986	96	0.2	0.6666666666666666	6.2	0.03125	10	0.001
151	Phospholip_A2_1	93	0.19047619047619047	0.4444444444444444	1.7777777777777777	0.0967741935483871	21	0.001
152	PTCB-BRCT	40	0.0625	1.0	2.4375	0.025	16	0.001
153	Peptidase_C1	197	0.0	0.0	0.0	0.030456852791878174	5	0.001
154	WW	23	0.5238095238095238	1.0	0.5714285714285715	0.4782608695652174	21	0.001
155	Fibrinogen_C	219	0.0625	0.08333333333333333	1.078125	0.0547945205479452	16	0.001
156	PWWP	73	0.14285714285714285	1.0	1.9428571428571426	0.0684931506849315	35	0.001
157	SH3_9	23	0.6190476190476191	1.0	0.47619047619047616	0.5652173913043478	21	0.001
158	Acetyltransf_1	83	0.3333333333333333	0.25	6.583333333333333	0.04819277108433735	3	0.001
159	Arm	9	0.8	1.0	1.0	0.4444444444444444	5	0.001
160	Helicase_C	97	0.02857142857142857	0.2	0.5257142857142857	0.05154639175257732	35	0.001
161	Cyclin_N	104	0.08333333333333333	1.0	8.583333333333334	0.009615384615384616	12	0.001
162	Peptidase_M10	137	0.2857142857142857	0.3333333333333333	6.238095238095238	0.043795620437956206	7	0.001
163	Chromo	32	0.2857142857142857	0.2857142857142857	1.020408163265306	0.21875	7	0.001
164	MHC_II_alpha	54	0.4074074074074074	0.7333333333333333	1.0592592592592591	0.2777777777777778	27	0.001
165	fn1	22	0.3333333333333333	1.0	7.0	0.045454545454545456	3	0.001
166	PDZ	16	0.4444444444444444	0.8	0.9777777777777777	0.3125	9	0.001
167	ANAPC3	32	0.0	0.0	0.0	0.03125	6	0.001
168	Neur_chan_LBD	165	0.01818181818181818	1.0	0.9818181818181818	0.01818181818181818	165	0.0
169	7TM_GPCR_Srsx	234	0.008547008547008548	1.0	0.9914529914529916	0.008547008547008548	234	0.0
170	BTB	105	0.047619047619047616	1.0	0.9523809523809523	0.047619047619047616	105	0.0
171	MHC_I	111	0.3333333333333333	1.0	0.6666666666666666	0.3333333333333333	111	0.0
172	Asp	184	0.03260869565217391	1.0	0.967391304347826	0.03260869565217391	184	0.0
173	FERM_M	115	0.0782608695652174	1.0	0.9217391304347827	0.0782608695652174	115	0.0
174	MHC_II_beta	61	0.29508196721311475	1.0	0.7049180327868853	0.29508196721311475	61	0.0
175	SH2	36	0.3055555555555556	1.0	0.6944444444444445	0.3055555555555556	36	0.0
176	HRM	35	0.05714285714285714	1.0	0.9428571428571428	0.05714285714285714	35	0.0
177	PID	86	0.08139534883720931	1.0	0.9186046511627908	0.08139534883720931	86	0.0
178	UQ_con	129	0.05426356589147287	1.0	0.9457364341085271	0.05426356589147287	129	0.0
179	Bromodomain	48	0.08333333333333333	1.0	0.9166666666666666	0.08333333333333333	48	0.0
180	Peptidase_M14	267	0.018726591760299626	1.0	0.9812734082397003	0.018726591760299626	267	0.0
181	Proteasome	168	0.005952380952380952	1.0	0.994047619047619	0.005952380952380952	168	0.0
182	Adap_comp_sub	248	0.008064516129032258	1.0	0.9919354838709676	0.008064516129032258	248	0.0
183	Transglut_core	93	0.03225806451612903	1.0	0.967741935483871	0.03225806451612903	93	0.0
184	Rad60-SLD	42	0.047619047619047616	1.0	0.9523809523809523	0.047619047619047616	42	0.0
185	Pro_isomerase	120	0.08333333333333333	1.0	0.9166666666666666	0.08333333333333333	120	0.0
186	CAP_GLY	60	0.26666666666666666	1.0	0.7333333333333333	0.26666666666666666	60	0.0
187	Pkinase	60	0.08333333333333333	1.0	0.9166666666666666	0.08333333333333333	60	0.0
188	PCI	79	0.012658227848101266	1.0	0.9873417721518988	0.012658227848101266	79	0.0
189	2OG-FeII_Oxy_3	80	0.0875	1.0	0.9125	0.0875	80	0.0
190	SH3_1	19	0.42105263157894735	1.0	0.5789473684210525	0.42105263157894735	19	0.0
191	HEAT_EZ	20	0.4	1.0	0.6000000000000001	0.4	20	0.0
192	Clathrin_propel	24	0.08333333333333333	1.0	0.9166666666666666	0.08333333333333333	24	0.0
193	PHD_2	12	0.08333333333333333	1.0	0.9166666666666666	0.08333333333333333	12	0.0
194	Peptidase_C14	174	0.06321839080459771	1.0	0.9367816091954024	0.06321839080459771	174	0.0
195	Lipocalin	113	0.04424778761061947	1.0	0.9557522123893806	0.04424778761061947	113	0.0
196	JmjC	74	0.06756756756756757	1.0	0.9324324324324325	0.06756756756756757	74	0.0
197	WH1	93	0.053763440860215055	1.0	0.946236559139785	0.053763440860215055	93	0.0
198	Y_phosphatase	179	0.055865921787709494	1.0	0.9441340782122905	0.055865921787709494	179	0.0
199	BIR	66	0.13636363636363635	1.0	0.8636363636363636	0.13636363636363635	66	0.0
200	SPRY	105	0.02857142857142857	1.0	0.9714285714285714	0.02857142857142857	105	0.0
201	Hormone_recep	109	0.009174311926605505	1.0	0.9908256880733946	0.009174311926605505	109	0.0
202	IRS	61	0.04918032786885246	1.0	0.9508196721311475	0.04918032786885246	61	0.0
203	Kelch_1	42	0.07142857142857142	1.0	0.9285714285714285	0.07142857142857142	42	0.0
204	TPR_10	35	0.14285714285714285	1.0	0.8571428571428571	0.14285714285714285	35	0.0
205	ubiquitin	41	0.04878048780487805	1.0	0.951219512195122	0.04878048780487805	41	0.0
206	MIT	28	0.17857142857142858	1.0	0.8214285714285715	0.17857142857142858	28	0.0
