	frac_text	positives	precision	prob	recall	total
0	15/45	15	0.3333333333333333	0.1	0.06072874493927125	45
1	22/62	22	0.3548387096774194	0.075	0.08906882591093117	62
2	38/93	38	0.40860215053763443	0.05	0.15384615384615385	93
3	67/195	67	0.3435897435897436	0.025	0.27125506072874495	195
4	106/419	106	0.2529832935560859	0.01	0.4291497975708502	419
5	134/700	134	0.19142857142857142	0.005	0.5425101214574899	700
6	177/2326	177	0.07609630266552021	0.001	0.7165991902834008	2326
7	196/4729	196	0.04144639458659336	0.0005	0.7935222672064778	4729
8	230/23013	230	0.009994351018989267	0.0001	0.9311740890688259	23013
9	247/43967	247	0.005617849750949576	0.0	1.0	43967
