	frac_text	positives	precision	prob	recall	total
0	5/35	5	0.14285714285714285	0.8	0.020242914979757085	35
1	14/93	14	0.15053763440860216	0.7	0.05668016194331984	93
2	23/172	23	0.13372093023255813	0.6	0.0931174089068826	172
3	26/242	26	0.10743801652892562	0.5	0.10526315789473684	242
4	32/342	32	0.0935672514619883	0.4	0.12955465587044535	342
5	47/495	47	0.09494949494949495	0.3	0.1902834008097166	495
6	64/736	64	0.08695652173913043	0.2	0.2591093117408907	736
7	73/1264	73	0.05775316455696203	0.1	0.29554655870445345	1264
8	82/2161	82	0.03794539565016196	0.05	0.3319838056680162	2161
9	127/6135	127	0.020700896495517523	0.01	0.5141700404858299	6135
10	139/7508	139	0.018513585508790623	0.005	0.562753036437247	7508
11	171/10961	171	0.015600766353434905	0.001	0.6923076923076923	10961
12	195/12549	195	0.015539086779823094	0.0005	0.7894736842105263	12549
13	217/23219	217	0.009345794392523364	0.0001	0.8785425101214575	23219
14	247/43967	247	0.005617849750949576	0.0	1.0	43967
