	frac_text	positives	precision	prob	recall	total
0	2/4	2	0.5	0.8	0.0024242424242424242	4
1	11/21	11	0.5238095238095238	0.7	0.013333333333333334	21
2	45/89	45	0.5056179775280899	0.6	0.05454545454545454	89
3	82/203	82	0.4039408866995074	0.5	0.0993939393939394	203
4	142/528	142	0.2689393939393939	0.4	0.17212121212121212	528
5	258/1412	258	0.18271954674220964	0.3	0.31272727272727274	1412
6	401/4061	401	0.09874415168677665	0.2	0.4860606060606061	4061
7	660/14580	660	0.04526748971193416	0.1	0.8	14580
8	792/26446	792	0.029947818195568326	0.05	0.96	26446
9	825/33332	825	0.024750990039601583	0.01	1.0	33332
10	825/33506	825	0.024622455679579776	0.005	1.0	33506
11	825/33522	825	0.02461070341865044	0.001	1.0	33522
12	825/33522	825	0.02461070341865044	0.0	1.0	33522
