	frac_text	positives	precision	prob	recall	total
0	1/1	1	1.0	0.95	0.0012121212121212121	1
1	16/19	16	0.8421052631578947	0.8	0.019393939393939394	19
2	30/38	30	0.7894736842105263	0.7	0.03636363636363636	38
3	42/61	42	0.6885245901639344	0.6	0.05090909090909091	61
4	60/94	60	0.6382978723404256	0.5	0.07272727272727272	94
5	80/140	80	0.5714285714285714	0.4	0.09696969696969697	140
6	120/236	120	0.5084745762711864	0.3	0.14545454545454545	236
7	168/393	168	0.42748091603053434	0.2	0.20363636363636364	393
8	287/1616	287	0.1775990099009901	0.1	0.3478787878787879	1616
9	423/8284	423	0.051062288749396424	0.05	0.5127272727272727	8284
10	623/18184	623	0.0342608886933568	0.01	0.7551515151515151	18184
11	679/21932	679	0.030959328834579608	0.005	0.823030303030303	21932
12	782/27630	782	0.028302569670647846	0.001	0.9478787878787879	27630
13	825/33522	825	0.02461070341865044	0.0	1.0	33522
