	frac_text	positives	precision	prob	recall	total
0	2/2	2	1.0	0.9	0.0024242424242424242	2
1	3/3	3	1.0	0.8	0.0036363636363636364	3
2	9/9	9	1.0	0.7	0.01090909090909091	9
3	12/15	12	0.8	0.6	0.014545454545454545	15
4	17/23	17	0.7391304347826086	0.5	0.020606060606060607	23
5	30/37	30	0.8108108108108109	0.4	0.03636363636363636	37
6	45/61	45	0.7377049180327869	0.3	0.05454545454545454	61
7	61/102	61	0.5980392156862745	0.2	0.07393939393939394	102
8	107/220	107	0.4863636363636364	0.1	0.1296969696969697	220
9	177/518	177	0.3416988416988417	0.05	0.21454545454545454	518
10	370/2971	370	0.12453719286435544	0.01	0.4484848484848485	2971
11	483/6214	483	0.07772771161892501	0.005	0.5854545454545454	6214
12	745/20809	745	0.035801816521697345	0.001	0.9030303030303031	20809
13	825/33522	825	0.02461070341865044	0.0	1.0	33522
